,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,16,U,GT3,T,4,2,other,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,3,3,0,9,6,10
1,GP,M,15,U,LE3,T,4,3,services,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,4,3,1,1,4,0,9,9,0
2,GP,F,17,U,GT3,T,1,1,at_home,services,home,mother,1,1,0,no,yes,yes,yes,no,yes,yes,yes,5,3,4,2,3,3,1,7,8,7
3,GP,M,15,R,GT3,T,2,1,at_home,other,course,mother,1,3,0,no,yes,no,yes,no,yes,no,no,4,3,4,1,1,5,0,8,7,9
4,GP,M,17,U,GT3,T,2,2,at_home,other,other,mother,2,3,1,yes,yes,no,yes,no,yes,no,no,3,3,3,1,1,3,1,7,8,0
5,GP,M,15,U,GT3,T,3,1,services,other,reputation,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,5,2,1,3,1,0,12,14,15
6,GP,F,18,U,GT3,T,3,4,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,4,2,4,1,8,16,16,14
7,GP,F,15,U,GT3,T,4,4,services,teacher,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,2,2,1,2,4,8,11,6,10
8,GP,F,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,4,5,1,1,4,4,15,12,14
9,GP,F,18,U,LE3,T,4,4,teacher,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,5,1,3,2,0,7,6,9
10,GP,M,16,U,GT3,T,4,4,services,teacher,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,5,2,5,5,0,11,12,11
11,GP,M,17,R,GT3,T,2,3,teacher,health,reputation,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,3,3,4,1,1,1,0,13,14,15
12,GP,M,17,R,GT3,T,1,2,other,services,home,father,2,2,0,no,no,yes,no,yes,yes,no,yes,4,4,4,3,4,3,2,8,8,9
13,GP,M,16,R,GT3,T,3,3,teacher,other,course,mother,1,1,2,yes,no,no,yes,no,no,yes,no,5,3,4,2,5,2,0,5,6,0
14,GP,F,15,U,LE3,T,3,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,2,2,2,5,0,14,13,16
15,GP,F,15,U,GT3,T,2,3,other,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,3,1,2,8,6,9
16,GP,F,15,U,GT3,A,4,4,teacher,teacher,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,2,3,3,1,1,1,0,9,11,11
17,GP,M,18,R,LE3,T,4,4,at_home,teacher,course,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,4,4,1,4,5,1,14,15,12
18,MS,F,18,R,LE3,T,1,2,at_home,services,home,other,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,1,2,3,1,6,7,10
19,GP,M,16,U,GT3,T,1,1,other,at_home,course,mother,1,1,1,no,no,no,no,no,yes,no,no,4,5,2,3,4,5,9,10,11,1
20,MS,M,18,U,LE3,T,4,3,other,other,course,mother,1,2,0,no,yes,no,no,yes,no,yes,yes,4,3,5,2,4,2,17,9,7,7
21,GP,F,15,R,GT3,T,3,4,other,other,course,father,1,2,0,yes,yes,yes,no,no,yes,yes,no,5,3,3,1,1,5,0,9,8,7
22,GP,F,18,U,GT3,T,4,2,at_home,services,course,mother,1,3,0,no,no,no,no,no,yes,yes,yes,4,3,3,2,2,2,0,8,8,0
