,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.061546925885325655,0.0855559654687153,0.07355144567702047,0.012004519791694823,0.07355144567702047,0.012004519791694826,2,0,0.0,minimize
sanity.close_values_probability.score,0.9620253164556962,0.9746835443037974,0.9683544303797469,0.006329113924050611,0.9683544303797469,0.006329113924050556,2,0,0.0,maximize
sanity.distant_values_probability.score,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.016704056767302425,0.017214968997001732,0.016959512882152077,0.0002554561148496535,0.016959512882152077,0.0002554561148496552,2,0,0.19,minimize
stats.chi_squared_test.marginal,0.6159579286162158,0.6592751183649205,0.6376165234905682,0.021658594874352344,0.6376165234905682,0.021658594874352288,2,0,0.04,maximize
stats.inv_kl_divergence.marginal,0.8302460122418536,0.8342834088897132,0.8322647105657834,0.002018698323929813,0.8322647105657834,0.0020186983239297573,2,0,0.03,maximize
stats.ks_test.marginal,0.9094744917529728,0.913693901035673,0.911584196394323,0.0021097046413501297,0.911584196394323,0.002109704641350185,2,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.02531645565699574,0.02531646109448883,0.025316458375742285,2.7187465438671676e-09,0.025316458375742285,2.7187465473366146e-09,2,0,0.01,minimize
stats.wasserstein_dist.joint,1.7682808121379532,1.7816957616016964,1.7749882868698248,0.00670747473187161,1.7749882868698248,0.00670747473187161,2,0,0.02,minimize
stats.prdc.precision,0.8860759493670886,0.9240506329113924,0.9050632911392404,0.018987341772151944,0.9050632911392404,0.01898734177215189,2,0,0.01,maximize
stats.prdc.recall,0.8607594936708861,0.8860759493670886,0.8734177215189873,0.012658227848101222,0.8734177215189873,0.012658227848101333,2,0,0.01,maximize
stats.prdc.density,0.7670886075949368,0.8936708860759494,0.830379746835443,0.06329113924050628,0.830379746835443,0.06329113924050633,2,0,0.01,maximize
stats.prdc.coverage,0.7848101265822784,0.9240506329113924,0.8544303797468354,0.069620253164557,0.8544303797468354,0.06962025316455711,2,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.014345991561181437,0.052320675105485326,0.03333333333333338,0.018987341772151944,0.03333333333333338,0.018987341772151944,2,0,0.03,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.055696202531645644,0.15058926233085979,0.10314273243125271,0.04744652989960707,0.10314273243125271,0.04744652989960707,2,0,0.03,maximize
stats.alpha_precision.authenticity_OC,0.9620253164556962,0.9873417721518988,0.9746835443037976,0.012658227848101278,0.9746835443037976,0.012658227848101222,2,0,0.03,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9064455114215044,0.9263203841117416,0.916382947766623,0.009937436345118567,0.916382947766623,0.009937436345118567,2,0,0.03,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.45569620253164556,0.5029535864978902,0.4793248945147679,0.02362869198312234,0.4793248945147679,0.02362869198312234,2,0,0.03,maximize
stats.alpha_precision.authenticity_naive,0.45569620253164556,0.5949367088607594,0.5253164556962024,0.06962025316455694,0.5253164556962024,0.069620253164557,2,0,0.03,maximize
performance.linear_model.gt,0.015185734181585678,0.015185734181585678,0.015185734181585678,0.0,0.015185734181585678,0.0,2,0,0.03,maximize
performance.linear_model.syn_id,0.5194743627439549,0.6941722771166994,0.6068233199303271,0.08734895718637226,0.6068233199303271,0.08734895718637214,2,0,0.03,maximize
performance.linear_model.syn_ood,0.5343728998717736,0.6562878202670617,0.5953303600694176,0.06095746019764403,0.5953303600694176,0.06095746019764392,2,0,0.03,maximize
performance.mlp.gt,0.7611490662089722,0.7611490662089722,0.7611490662089722,0.0,0.7611490662089722,0.0,2,0,4.42,maximize
performance.mlp.syn_id,0.5348388081330898,0.7088508574442152,0.6218448327886525,0.08700602465556267,0.6218448327886525,0.08700602465556273,2,0,4.42,maximize
performance.mlp.syn_ood,0.6291856376132801,0.651275686791567,0.6402306622024235,0.01104502458914347,0.6402306622024235,0.011045024589143582,2,0,4.42,maximize
performance.xgb.gt,0.7175021972268173,0.7175021972268173,0.7175021972268173,0.0,0.7175021972268173,0.0,2,0,0.2,maximize
performance.xgb.syn_id,0.562391850822646,0.6492088865055574,0.6058003686641017,0.04340851784145572,0.6058003686641017,0.04340851784145561,2,0,0.2,maximize
performance.xgb.syn_ood,0.3122311567992587,0.41763264491498714,0.3649319008571229,0.05270074405786421,0.3649319008571229,0.052700744057864235,2,0,0.2,maximize
detection.detection_xgb.mean,0.7472423113448755,0.7907261304697203,0.7689842209072979,0.02174190956242239,0.7689842209072979,0.02174190956242228,2,0,0.08,minimize
detection.detection_mlp.mean,0.6152202498356344,0.6726386149463073,0.6439294323909708,0.028709182555336443,0.6439294323909708,0.028709182555336388,2,0,1.08,minimize
detection.detection_gmm.mean,0.51661918328585,0.5299145299145299,0.5232668566001899,0.0066476733143399636,0.5232668566001899,0.006647673314340019,2,0,0.1,minimize
detection.detection_linear.mean,0.7129994886405143,0.7626196215939806,0.7378095551172474,0.024810066476733117,0.7378095551172474,0.024810066476733006,2,0,1.38,minimize
privacy.delta-presence.score,2.1999999956,3.6666666544444446,2.933333325022222,0.7333333294222224,2.933333325022222,0.733333329422222,2,0,0.11,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.07,maximize
privacy.k-anonymization.syn,1.00000001,13.00000001,7.000000010000001,6.000000000000001,7.000000010000001,6.000000000000001,2,0,0.07,maximize
privacy.k-map.score,1.0,3.0,2.0,1.0,2.0,1.0,2,0,0.04,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,13.00000001,7.000000010000001,6.000000000000001,7.000000010000001,6.000000000000001,2,0,0.08,maximize
privacy.identifiability_score.score,0.25316455696202533,0.2911392405063291,0.2721518987341772,0.01898734177215189,0.2721518987341772,0.01898734177215189,2,0,0.03,minimize
privacy.identifiability_score.score_OC,0.05063291139240506,0.12658227848101267,0.08860759493670886,0.0379746835443038,0.08860759493670886,0.03797468354430379,2,0,0.03,minimize
