,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,17,R,LE3,T,3,3,services,other,course,mother,1,3,0,no,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,8,7,7
1,GP,F,15,U,GT3,T,4,4,services,services,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,5,5,1,1,4,20,8,5,0
2,GP,M,18,U,GT3,T,4,2,teacher,other,course,mother,1,1,1,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,3,14,8,9,9
3,GP,M,18,U,GT3,T,3,3,teacher,services,course,mother,1,1,3,no,yes,yes,no,no,yes,no,yes,3,4,4,1,2,4,8,8,9,9
4,GP,F,17,U,GT3,T,2,2,other,other,course,mother,3,2,1,no,yes,yes,yes,yes,yes,no,no,4,2,4,1,1,5,2,5,5,4
5,GP,F,15,U,GT3,T,3,3,services,other,course,mother,1,2,0,no,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,0,7,6,6
6,GP,M,17,U,GT3,T,3,3,other,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,2,2,4,2,13,11,11
7,GP,F,17,U,GT3,T,4,4,teacher,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,1,0,16,15,15
8,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,4,3,4,1,1,3,0,9,9,9
9,GP,F,18,U,GT3,T,3,3,at_home,other,other,father,1,2,0,no,yes,yes,yes,yes,yes,no,no,4,3,4,3,4,5,6,9,9,9
10,GP,F,17,R,GT3,T,3,3,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,4,3,14,15,14,14
11,GP,F,15,R,GT3,A,3,2,services,other,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,2,3,2,14,14,14
12,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,2,8,9,0
13,GP,F,16,U,LE3,T,3,2,services,other,reputation,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,5,5,2,5,5,6,7,8,8
14,GP,M,17,R,LE3,T,4,4,teacher,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,2,1,1,3,0,7,6,0
15,GP,F,16,U,GT3,T,2,2,other,other,other,mother,1,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,2,5,8,8,9,9
16,GP,F,16,U,GT3,T,4,4,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,4,6,10,10,10
17,GP,M,17,U,GT3,T,1,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,4,1,1,5,2,9,10,9
18,GP,F,17,U,GT3,T,3,3,services,services,course,father,1,1,0,no,no,yes,no,no,yes,yes,no,4,3,3,1,1,3,4,14,14,14
19,GP,F,15,U,GT3,T,4,3,health,other,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,1,1,1,1,0,12,14,13
20,GP,M,18,U,LE3,T,2,1,other,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,2,2,1,2,3,0,12,13,13
