,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.059212928787513615,0.059212928787513615,0.059212928787513615,0.0,0.059212928787513615,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.0,0.9746835443037974,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.018034127125083933,0.018034127125083933,0.018034127125083933,0.0,0.018034127125083933,0.0,2,0,0.12,minimize
stats.chi_squared_test.marginal,0.7279078373533031,0.7279078373533031,0.7279078373533031,0.0,0.7279078373533031,0.0,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.8710367031178704,0.8710367031178704,0.8710367031178704,0.0,0.8710367031178704,0.0,2,0,0.02,maximize
stats.ks_test.marginal,0.903337169159954,0.903337169159954,0.903337169159954,0.0,0.903337169159954,0.0,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.025316469750165826,0.025316469750165826,0.025316469750165826,0.0,0.025316469750165826,0.0,2,0,0.01,minimize
stats.wasserstein_dist.joint,1.7643148778532471,1.7643148778532471,1.7643148778532471,0.0,1.7643148778532471,0.0,2,0,0.02,minimize
stats.prdc.precision,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.0,0.9746835443037974,0.0,2,0,0.01,maximize
stats.prdc.recall,0.8607594936708861,0.8607594936708861,0.8607594936708861,0.0,0.8607594936708861,0.0,2,0,0.01,maximize
stats.prdc.density,1.0025316455696203,1.0025316455696203,1.0025316455696203,0.0,1.0025316455696203,0.0,2,0,0.01,maximize
stats.prdc.coverage,0.9620253164556962,0.9620253164556962,0.9620253164556962,0.0,0.9620253164556962,0.0,2,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.056540084388185585,0.056540084388185585,0.056540084388185585,0.0,0.056540084388185585,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.05822784810126591,0.05822784810126591,0.05822784810126591,0.0,0.05822784810126591,0.0,2,0,0.02,maximize
stats.alpha_precision.authenticity_OC,0.9493670886075949,0.9493670886075949,0.9493670886075949,0.0,0.9493670886075949,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8670740579077549,0.8670740579077549,0.8670740579077549,0.0,0.8670740579077549,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4455696202531646,0.4455696202531646,0.4455696202531646,0.0,0.4455696202531646,0.0,2,0,0.02,maximize
stats.alpha_precision.authenticity_naive,0.620253164556962,0.620253164556962,0.620253164556962,0.0,0.620253164556962,0.0,2,0,0.02,maximize
performance.linear_model.gt,0.015185734181585678,0.015185734181585678,0.015185734181585678,0.0,0.015185734181585678,0.0,2,0,0.02,maximize
performance.linear_model.syn_id,0.5859725968671454,0.5859725968671454,0.5859725968671454,0.0,0.5859725968671454,0.0,2,0,0.02,maximize
performance.linear_model.syn_ood,0.717215963683793,0.717215963683793,0.717215963683793,0.0,0.717215963683793,0.0,2,0,0.02,maximize
performance.mlp.gt,0.7611490662089722,0.7611490662089722,0.7611490662089722,0.0,0.7611490662089722,0.0,2,0,3.54,maximize
performance.mlp.syn_id,0.5452540850862477,0.5452540850862477,0.5452540850862477,0.0,0.5452540850862477,0.0,2,0,3.54,maximize
performance.mlp.syn_ood,0.519140586081515,0.519140586081515,0.519140586081515,0.0,0.519140586081515,0.0,2,0,3.54,maximize
performance.xgb.gt,0.7175021972268173,0.7175021972268173,0.7175021972268173,0.0,0.7175021972268173,0.0,2,0,0.11,maximize
performance.xgb.syn_id,0.6649155483691557,0.6649155483691557,0.6649155483691557,0.0,0.6649155483691557,0.0,2,0,0.11,maximize
performance.xgb.syn_ood,0.558639612941803,0.558639612941803,0.558639612941803,0.0,0.558639612941803,0.0,2,0,0.11,maximize
detection.detection_xgb.mean,0.7421652421652422,0.7421652421652422,0.7421652421652422,0.0,0.7421652421652422,0.0,2,0,0.04,minimize
detection.detection_mlp.mean,0.7558441084082109,0.7558441084082109,0.7558441084082109,0.0,0.7558441084082109,0.0,2,0,0.56,minimize
detection.detection_gmm.mean,0.5208926875593543,0.5208926875593543,0.5208926875593543,0.0,0.5208926875593543,0.0,2,0,0.03,minimize
detection.detection_linear.mean,0.7718423551756884,0.7718423551756884,0.7718423551756884,0.0,0.7718423551756884,0.0,2,0,0.8,minimize
privacy.delta-presence.score,2.3999999952,2.3999999952,2.3999999952,0.0,2.3999999952,0.0,2,0,0.1,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.04,maximize
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,2,0,0.04,maximize
privacy.k-map.score,5.0,5.0,5.0,0.0,5.0,0.0,2,0,0.02,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.04,maximize
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,2,0,0.04,maximize
privacy.identifiability_score.score,0.45569620253164556,0.45569620253164556,0.45569620253164556,0.0,0.45569620253164556,0.0,2,0,0.02,minimize
privacy.identifiability_score.score_OC,0.0759493670886076,0.0759493670886076,0.0759493670886076,0.0,0.0759493670886076,0.0,2,0,0.02,minimize
privacy.DomiasMIA_BNAF.accuracy,0.03067484662576687,0.03067484662576687,0.03067484662576687,0.0,0.03067484662576687,0.0,2,0,51.25,minimize
privacy.DomiasMIA_BNAF.aucroc,0.5,0.5,0.5,0.0,0.5,0.0,2,0,51.25,minimize
privacy.DomiasMIA_prior.accuracy,0.48773006134969327,0.48773006134969327,0.48773006134969327,0.0,0.48773006134969327,0.0,2,0,0.02,minimize
privacy.DomiasMIA_prior.aucroc,0.3367088607594937,0.3367088607594937,0.3367088607594937,0.0,0.3367088607594937,0.0,2,0,0.02,minimize
