,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,M,16,U,GT3,T,2,2,other,services,reputation,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,3,2,1,1,2,2,6,5,4
1,GP,F,15,U,GT3,T,4,4,services,services,other,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,yes,4,4,4,1,1,5,0,6,0,0
2,GP,M,18,U,LE3,T,3,3,services,other,home,other,1,4,0,yes,no,yes,no,yes,yes,yes,no,4,2,2,1,3,5,2,6,6,0
3,GP,M,17,U,LE3,T,2,2,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,3,3,3,12,10,0
4,MS,F,17,U,GT3,T,3,3,services,other,reputation,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,2,2,14,14,14
5,GP,M,17,U,LE3,T,4,2,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,2,1,1,4,3,13,12,13
6,GP,M,15,R,LE3,T,3,3,other,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,1,0,10,14,13
7,GP,M,17,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,yes,yes,yes,no,5,4,4,1,3,5,0,9,8,7
8,GP,M,16,U,GT3,T,3,2,health,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,13,12,11,11
9,GP,F,18,U,GT3,T,2,1,at_home,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,4,3,3,1,3,5,2,5,0,0
10,GP,F,16,U,GT3,T,1,1,other,services,reputation,mother,2,1,2,no,yes,yes,no,yes,yes,yes,no,5,3,3,3,3,4,0,14,14,14
11,GP,F,15,U,LE3,T,2,3,other,other,home,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,3,4,3,1,1,3,6,11,10,10
12,GP,M,15,U,LE3,T,2,1,other,other,reputation,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,3,2,3,1,2,5,4,12,10,10
13,GP,M,18,U,GT3,T,3,3,other,services,reputation,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,4,4,1,1,5,6,14,14,14
14,GP,M,15,U,GT3,T,3,4,services,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,5,4,4,6,8,8,8
15,GP,F,15,U,GT3,T,1,1,health,services,course,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,4,0,5,5,5
16,GP,M,17,U,LE3,T,1,1,other,services,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,3,6,17,16,17
17,GP,M,18,U,GT3,T,2,4,other,other,course,father,1,3,0,no,no,no,yes,yes,yes,no,no,4,3,4,1,1,4,2,19,17,20
18,GP,M,15,U,GT3,T,4,4,teacher,other,reputation,mother,1,4,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,1,1,5,2,8,8,8
19,GP,M,17,U,GT3,T,2,2,other,other,course,father,2,3,0,no,yes,yes,yes,yes,yes,no,no,5,5,4,1,3,2,3,7,8,8
20,GP,F,15,U,LE3,T,3,3,other,other,reputation,mother,1,3,0,no,yes,yes,no,no,yes,yes,yes,2,4,3,1,2,5,4,10,10,0
21,GP,F,17,U,GT3,T,2,2,at_home,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,4,3,5,1,1,4,6,13,14,14
22,GP,F,18,U,GT3,T,4,4,other,teacher,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,3,4,4,1,1,3,0,14,15,15
23,GP,M,18,U,GT3,T,1,1,at_home,at_home,other,mother,2,3,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,3,0,12,10,5
24,GP,F,17,U,GT3,T,1,2,other,other,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,1,1,0,13,11,12
25,GP,F,17,U,LE3,T,3,1,other,other,home,mother,1,1,1,no,no,no,yes,no,yes,yes,yes,4,3,1,1,1,5,6,14,13,0
26,GP,F,16,U,GT3,T,4,4,services,teacher,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,3,4,5,0,7,7,7
27,GP,M,15,U,LE3,T,1,2,other,other,reputation,father,3,3,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,5,2,15,15,15
28,GP,F,15,U,LE3,T,4,3,health,at_home,course,mother,1,2,0,no,no,yes,no,no,yes,yes,yes,4,3,3,1,1,3,0,7,0,0
29,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,2,3,4,4,6,9,9
30,GP,F,15,U,GT3,T,3,4,services,services,course,mother,2,3,0,no,yes,yes,no,yes,yes,yes,yes,3,3,2,2,3,4,0,6,0,0
31,GP,M,16,U,GT3,T,1,1,at_home,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,3,3,12,11,11
32,GP,M,17,U,LE3,T,3,2,services,other,course,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,4,1,2,4,2,10,9,8
33,GP,F,16,U,LE3,T,3,3,other,other,course,father,2,2,0,no,no,yes,no,no,yes,yes,no,5,3,3,1,3,3,4,8,8,8
34,GP,M,17,U,LE3,T,3,2,other,other,course,mother,1,3,0,no,no,yes,no,yes,yes,yes,no,4,2,4,1,1,4,10,14,13,11
35,GP,F,18,U,GT3,A,3,1,other,services,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,2,6,6,6,6
36,GP,M,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,8,5,6
37,GP,M,17,R,GT3,T,1,2,other,other,other,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,3,3,3,1,2,3,0,12,8,9
38,GP,M,17,U,GT3,T,4,2,teacher,services,course,mother,3,2,2,no,no,yes,yes,yes,yes,yes,no,2,3,2,1,1,5,8,9,10,10
39,GP,F,17,U,GT3,T,4,4,at_home,teacher,reputation,mother,3,2,0,yes,no,no,no,yes,yes,yes,yes,3,3,3,3,3,5,4,8,8,8
40,GP,M,15,U,GT3,T,3,1,services,other,course,mother,2,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,1,1,3,2,8,7,8
41,GP,F,16,R,LE3,T,4,4,teacher,services,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,2,2,0,15,14,15
42,GP,M,18,R,LE3,T,2,1,other,services,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,11,9,9
43,GP,F,16,U,GT3,A,4,3,services,services,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,1,2,5,10,12,12,12
44,GP,F,16,U,GT3,T,3,2,services,services,course,mother,2,1,2,no,no,yes,no,yes,yes,yes,no,3,3,3,1,1,1,4,7,7,0
45,GP,M,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,1,1,4,4,8,10,11
46,GP,M,17,U,GT3,T,1,1,at_home,at_home,reputation,other,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,2,0,9,9,9
47,GP,F,18,U,GT3,T,2,3,other,services,other,mother,2,2,1,no,yes,no,yes,yes,yes,yes,yes,5,2,1,1,1,2,0,13,14,0
48,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,3,2,5,1,1,5,4,8,9,8
49,GP,F,18,U,GT3,T,4,4,at_home,other,reputation,father,1,4,0,no,no,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,13,13,13
50,GP,F,15,U,GT3,T,2,2,other,other,other,mother,2,1,0,no,yes,yes,yes,yes,yes,yes,no,5,3,4,1,4,5,2,12,11,13
51,GP,F,15,R,GT3,T,1,1,other,services,reputation,father,1,2,0,no,no,no,no,yes,yes,yes,no,4,2,4,1,4,5,0,7,6,8
52,MS,F,16,U,GT3,T,4,4,services,services,course,father,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,4,0,16,13,13
