,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.08140681753447805,0.08140681753447805,0.08140681753447805,0.0,0.08140681753447805,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.0,0.9746835443037974,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.017844739996959298,0.017844739996959298,0.017844739996959298,0.0,0.017844739996959298,0.0,2,0,0.11,minimize
stats.chi_squared_test.marginal,0.6781552873438772,0.6781552873438772,0.6781552873438772,0.0,0.6781552873438772,0.0,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.8619282592039086,0.8619282592039086,0.8619282592039086,0.0,0.8619282592039086,0.0,2,0,0.02,maximize
stats.ks_test.marginal,0.9029535864978903,0.9029535864978903,0.9029535864978903,0.0,0.9029535864978903,0.0,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.025316455676650675,0.025316455676650675,0.025316455676650675,0.0,0.025316455676650675,0.0,2,0,0.01,minimize
stats.wasserstein_dist.joint,1.7577296078241078,1.7577296078241078,1.7577296078241078,0.0,1.7577296078241078,0.0,2,0,0.02,minimize
stats.prdc.precision,0.620253164556962,0.620253164556962,0.620253164556962,0.0,0.620253164556962,0.0,2,0,0.01,maximize
stats.prdc.recall,0.45569620253164556,0.45569620253164556,0.45569620253164556,0.0,0.45569620253164556,0.0,2,0,0.01,maximize
stats.prdc.density,0.30379746835443044,0.30379746835443044,0.30379746835443044,0.0,0.30379746835443044,0.0,2,0,0.01,maximize
stats.prdc.coverage,0.569620253164557,0.569620253164557,0.569620253164557,0.0,0.569620253164557,0.0,2,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.06244725738396639,0.06244725738396639,0.06244725738396639,0.0,0.06244725738396639,0.0,2,0,1.07,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.026160337552742607,0.026160337552742607,0.026160337552742607,0.0,0.026160337552742607,0.0,2,0,1.07,maximize
stats.alpha_precision.authenticity_OC,0.9493670886075949,0.9493670886075949,0.9493670886075949,0.0,0.9493670886075949,0.0,2,0,1.07,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.841786701585916,0.841786701585916,0.841786701585916,0.0,0.841786701585916,0.0,2,0,1.07,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.43713080168776364,0.43713080168776364,0.43713080168776364,0.0,0.43713080168776364,0.0,2,0,1.07,maximize
stats.alpha_precision.authenticity_naive,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.0,0.5063291139240507,0.0,2,0,1.07,maximize
performance.linear_model.gt,0.015185734181585678,0.015185734181585678,0.015185734181585678,0.0,0.015185734181585678,0.0,2,0,0.02,maximize
performance.linear_model.syn_id,0.5589246278418775,0.5589246278418775,0.5589246278418775,0.0,0.5589246278418775,0.0,2,0,0.02,maximize
performance.linear_model.syn_ood,0.501282808819314,0.501282808819314,0.501282808819314,0.0,0.501282808819314,0.0,2,0,0.02,maximize
performance.mlp.gt,0.7611490662089722,0.7611490662089722,0.7611490662089722,0.0,0.7611490662089722,0.0,2,0,3.98,maximize
performance.mlp.syn_id,-0.5625479912574294,-0.5625479912574294,-0.5625479912574294,0.0,-0.5625479912574294,0.0,2,0,3.98,maximize
performance.mlp.syn_ood,0.6035082913250096,0.6035082913250096,0.6035082913250096,0.0,0.6035082913250096,0.0,2,0,3.98,maximize
performance.xgb.gt,0.7175021972268173,0.7175021972268173,0.7175021972268173,0.0,0.7175021972268173,0.0,2,0,0.11,maximize
performance.xgb.syn_id,0.26192932405535163,0.26192932405535163,0.26192932405535163,0.0,0.26192932405535163,0.0,2,0,0.11,maximize
performance.xgb.syn_ood,0.6878428694515065,0.6878428694515065,0.6878428694515065,0.0,0.6878428694515065,0.0,2,0,0.11,maximize
detection.detection_xgb.mean,0.9798013003141208,0.9798013003141208,0.9798013003141208,0.0,0.9798013003141208,0.0,2,0,0.03,minimize
detection.detection_mlp.mean,0.9140368178829718,0.9140368178829718,0.9140368178829718,0.0,0.9140368178829718,0.0,2,0,0.57,minimize
detection.detection_gmm.mean,0.4912155745489079,0.4912155745489079,0.4912155745489079,0.0,0.4912155745489079,0.0,2,0,0.05,minimize
detection.detection_linear.mean,0.9746146541018336,0.9746146541018336,0.9746146541018336,0.0,0.9746146541018336,0.0,2,0,0.73,minimize
privacy.delta-presence.score,1.7142857118367347,1.7142857118367347,1.7142857118367347,0.0,1.7142857118367347,0.0,2,0,0.1,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.04,maximize
privacy.k-anonymization.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,2,0,0.04,maximize
privacy.k-map.score,7.0,7.0,7.0,0.0,7.0,0.0,2,0,0.02,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.04,maximize
privacy.distinct l-diversity.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,2,0,0.04,maximize
privacy.identifiability_score.score,0.13924050632911392,0.13924050632911392,0.13924050632911392,0.0,0.13924050632911392,0.0,2,0,0.02,minimize
privacy.identifiability_score.score_OC,0.05063291139240506,0.05063291139240506,0.05063291139240506,0.0,0.05063291139240506,0.0,2,0,0.02,minimize
privacy.DomiasMIA_BNAF.accuracy,0.03067484662576687,0.03067484662576687,0.03067484662576687,0.0,0.03067484662576687,0.0,2,0,52.08,minimize
privacy.DomiasMIA_BNAF.aucroc,0.5,0.5,0.5,0.0,0.5,0.0,2,0,52.08,minimize
privacy.DomiasMIA_prior.accuracy,0.5122699386503068,0.5122699386503068,0.5122699386503068,0.0,0.5122699386503068,0.0,2,0,0.02,minimize
privacy.DomiasMIA_prior.aucroc,0.5863924050632912,0.5863924050632912,0.5863924050632912,0.0,0.5863924050632912,0.0,2,0,0.02,minimize
