,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,18,U,GT3,T,3,1,services,services,home,mother,1,1,1,no,no,yes,yes,no,yes,yes,yes,3,3,5,1,1,4,2,7,6,7
1,GP,F,16,U,GT3,T,1,1,other,other,reputation,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,4,1,1,1,0,8,7,9
2,GP,M,17,U,GT3,T,4,3,at_home,services,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,4,3,3,4,8,8,7,4
3,GP,M,16,U,GT3,T,3,2,services,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,3,4,9,9,9
4,GP,M,19,U,GT3,T,2,2,other,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,4,5,2,8,10,9,9
5,GP,F,17,U,GT3,T,4,4,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,3,0,8,9,0
6,GP,M,18,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,3,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,5,2,9,8,8
7,GP,F,15,U,GT3,T,2,2,other,other,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,5,4,2,1,1,4,0,9,9,9
8,MS,F,15,U,GT3,T,3,3,other,other,course,mother,1,4,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,3,3,0,10,9,9
9,GP,F,18,R,GT3,T,2,2,other,other,reputation,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,2,4,2,0,13,13,14
10,GP,M,17,U,GT3,T,4,4,services,other,home,father,2,2,0,no,yes,yes,no,yes,yes,yes,yes,5,2,5,2,4,5,0,13,13,13
11,GP,M,17,U,GT3,T,3,2,other,services,reputation,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,5,3,1,1,5,16,12,12,13
12,GP,M,16,U,LE3,T,4,4,other,other,home,father,1,2,3,no,yes,yes,no,no,yes,yes,yes,5,2,2,1,2,5,0,14,15,15
13,GP,M,15,U,GT3,T,2,1,other,other,home,mother,1,1,0,yes,no,no,no,yes,yes,yes,no,5,3,5,1,1,5,0,9,9,8
14,GP,F,17,U,GT3,T,1,1,other,other,other,father,1,2,0,no,no,yes,yes,yes,yes,yes,yes,3,3,3,1,1,4,0,8,8,8
15,GP,F,17,U,GT3,A,1,1,other,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,4,5,10,12,12,11
16,GP,F,17,U,GT3,T,3,3,services,services,other,mother,1,3,0,no,yes,no,no,yes,yes,no,yes,4,3,3,1,3,5,0,5,0,0
