,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.06740675002260302,0.06740675002260302,0.06740675002260302,0.0,0.06740675002260302,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.0,0.9746835443037974,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.016309825571823207,0.016309825571823207,0.016309825571823207,0.0,0.016309825571823207,0.0,2,0,0.11,minimize
stats.chi_squared_test.marginal,0.7414340566730069,0.7414340566730069,0.7414340566730069,0.0,0.7414340566730069,0.0,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.8695838594995683,0.8695838594995683,0.8695838594995683,0.0,0.8695838594995683,0.0,2,0,0.02,maximize
stats.ks_test.marginal,0.9025700038358266,0.9025700038358266,0.9025700038358266,0.0,0.9025700038358266,0.0,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0253164360321389,0.0253164360321389,0.0253164360321389,0.0,0.0253164360321389,0.0,2,0,0.01,minimize
stats.wasserstein_dist.joint,1.850471298446743,1.850471298446743,1.850471298446743,0.0,1.850471298446743,0.0,2,0,0.02,minimize
stats.prdc.precision,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.0,0.9873417721518988,0.0,2,0,0.01,maximize
stats.prdc.recall,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.0,0.9113924050632911,0.0,2,0,0.01,maximize
stats.prdc.density,1.020253164556962,1.020253164556962,1.020253164556962,0.0,1.020253164556962,0.0,2,0,0.01,maximize
stats.prdc.coverage,0.9620253164556962,0.9620253164556962,0.9620253164556962,0.0,0.9620253164556962,0.0,2,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.08691983122362856,0.08691983122362856,0.08691983122362856,0.0,0.08691983122362856,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.11729957805907176,0.11729957805907176,0.11729957805907176,0.0,0.11729957805907176,0.0,2,0,0.02,maximize
stats.alpha_precision.authenticity_OC,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.0,0.7215189873417721,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9027498908773461,0.9027498908773461,0.9027498908773461,0.0,0.9027498908773461,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4135021097046414,0.4135021097046414,0.4135021097046414,0.0,0.4135021097046414,0.0,2,0,0.02,maximize
stats.alpha_precision.authenticity_naive,0.5316455696202531,0.5316455696202531,0.5316455696202531,0.0,0.5316455696202531,0.0,2,0,0.02,maximize
performance.linear_model.gt,0.015185734181585678,0.015185734181585678,0.015185734181585678,0.0,0.015185734181585678,0.0,2,0,0.02,maximize
performance.linear_model.syn_id,0.6846347630833564,0.6846347630833564,0.6846347630833564,0.0,0.6846347630833564,0.0,2,0,0.02,maximize
performance.linear_model.syn_ood,0.12766925492688397,0.12766925492688397,0.12766925492688397,0.0,0.12766925492688397,0.0,2,0,0.02,maximize
performance.mlp.gt,0.7611490662089722,0.7611490662089722,0.7611490662089722,0.0,0.7611490662089722,0.0,2,0,3.18,maximize
performance.mlp.syn_id,0.5773324283992337,0.5773324283992337,0.5773324283992337,0.0,0.5773324283992337,0.0,2,0,3.18,maximize
performance.mlp.syn_ood,0.4939163462795307,0.4939163462795307,0.4939163462795307,0.0,0.4939163462795307,0.0,2,0,3.18,maximize
performance.xgb.gt,0.7175021972268173,0.7175021972268173,0.7175021972268173,0.0,0.7175021972268173,0.0,2,0,0.11,maximize
performance.xgb.syn_id,0.7546660339785873,0.7546660339785873,0.7546660339785873,0.0,0.7546660339785873,0.0,2,0,0.11,maximize
performance.xgb.syn_ood,0.5990198888980651,0.5990198888980651,0.5990198888980651,0.0,0.5990198888980651,0.0,2,0,0.11,maximize
detection.detection_xgb.mean,0.7762254364818467,0.7762254364818467,0.7762254364818467,0.0,0.7762254364818467,0.0,2,0,0.04,minimize
detection.detection_mlp.mean,0.7051738622251443,0.7051738622251443,0.7051738622251443,0.0,0.7051738622251443,0.0,2,0,0.56,minimize
detection.detection_gmm.mean,0.469610636277303,0.469610636277303,0.469610636277303,0.0,0.469610636277303,0.0,2,0,0.05,minimize
detection.detection_linear.mean,0.7198845788589378,0.7198845788589378,0.7198845788589378,0.0,0.7198845788589378,0.0,2,0,0.76,minimize
privacy.delta-presence.score,1.7368421043490303,1.7368421043490303,1.7368421043490303,0.0,1.7368421043490303,0.0,2,0,0.09,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.04,maximize
privacy.k-anonymization.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,2,0,0.04,maximize
privacy.k-map.score,10.0,10.0,10.0,0.0,10.0,0.0,2,0,0.02,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,2,0,0.04,maximize
privacy.distinct l-diversity.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,2,0,0.04,maximize
privacy.identifiability_score.score,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.0,0.46835443037974683,0.0,2,0,0.02,minimize
privacy.identifiability_score.score_OC,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.0,0.12658227848101267,0.0,2,0,0.02,minimize
privacy.DomiasMIA_BNAF.accuracy,0.03067484662576687,0.03067484662576687,0.03067484662576687,0.0,0.03067484662576687,0.0,2,0,52.08,minimize
privacy.DomiasMIA_BNAF.aucroc,0.5,0.5,0.5,0.0,0.5,0.0,2,0,52.08,minimize
privacy.DomiasMIA_prior.accuracy,0.4815950920245399,0.4815950920245399,0.4815950920245399,0.0,0.4815950920245399,0.0,2,0,0.02,minimize
privacy.DomiasMIA_prior.aucroc,0.2113924050632911,0.2113924050632911,0.2113924050632911,0.0,0.2113924050632911,0.0,2,0,0.02,minimize
