,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,DDD,2014B,624865,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,89,N,Withdrawn
1,FFF,2014B,518752,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass
2,BBB,2013J,577444,F,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass
3,GGG,2013J,562192,F,Wales,Lower Than A Level,30-40%,0-35,0,120,N,Pass
4,BBB,2014J,657148,F,North Western Region,HE Qualification,60-70%,35-55,0,120,N,Pass
5,CCC,2014J,615630,M,East Midlands Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
6,CCC,2014J,602811,M,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
7,DDD,2014B,631054,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,90,N,Fail
8,BBB,2013J,396545,F,South Region,Lower Than A Level,40-50%,35-55,0,60,N,Withdrawn
9,EEE,2014J,624100,M,Scotland,A Level or Equivalent,70-80%,35-55,1,90,N,Pass
10,CCC,2014B,387564,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,59,N,Pass
11,BBB,2013J,598244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
12,GGG,2014B,574250,F,East Midlands Region,Lower Than A Level,70-80%,0-35,0,31,N,Pass
13,BBB,2013J,576901,M,Wales,Lower Than A Level,30-40%,35-55,0,59,N,Withdrawn
14,FFF,2013J,249240,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
15,FFF,2014B,614130,M,North Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
16,BBB,2013B,77876,F,London Region,Lower Than A Level,50-60%,0-35,0,90,N,Pass
17,EEE,2014J,634885,M,South East Region,A Level or Equivalent,30-40%,0-35,0,31,Y,Pass
18,AAA,2013J,2317571,M,North Western Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
19,DDD,2013B,625525,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
20,BBB,2014J,2619427,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,1,59,N,Withdrawn
21,CCC,2014J,557801,M,South East Region,A Level or Equivalent,50-60%,0-35,0,89,N,Withdrawn
22,AAA,2013J,151363,F,South East Region,A Level or Equivalent,70-80%,35-55,0,59,N,Fail
23,BBB,2013J,615133,F,North Region,Lower Than A Level,90-100%,0-35,0,59,N,Pass
24,BBB,2014B,560600,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn
25,BBB,2014B,1144903,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
26,FFF,2013B,526381,M,South East Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
27,FFF,2014J,2568520,M,London Region,No Formal quals,30-40%,35-55,0,60,N,Pass
28,FFF,2013B,544413,M,East Midlands Region,Lower Than A Level,90-100%,0-35,0,119,N,Pass
29,FFF,2013B,198915,M,West Midlands Region,Lower Than A Level,20-30%,0-35,3,120,N,Withdrawn
30,FFF,2013J,529942,M,Yorkshire Region,HE Qualification,10-20,35-55,0,60,N,Pass
31,BBB,2013B,602417,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
32,FFF,2013B,644866,M,Wales,A Level or Equivalent,0-10%,0-35,0,59,N,Pass
33,FFF,2014B,2023202,M,North Western Region,Lower Than A Level,10-20,0-35,0,90,N,Fail
34,FFF,2014B,542713,F,East Midlands Region,Lower Than A Level,40-50%,0-35,0,119,N,Pass
35,CCC,2014J,669730,M,North Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn
36,FFF,2014J,438060,F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
37,FFF,2013J,566213,F,North Region,A Level or Equivalent,20-30%,0-35,0,120,Y,Withdrawn
38,CCC,2014J,2580200,F,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
39,BBB,2013J,543024,F,London Region,A Level or Equivalent,10-20,0-35,0,59,N,Pass
40,GGG,2013J,399087,M,South Region,Lower Than A Level,30-40%,0-35,2,30,N,Pass
41,DDD,2013J,673641,M,North Region,HE Qualification,0-10%,0-35,0,60,N,Fail
42,EEE,2014B,643380,M,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,90,N,Withdrawn
43,EEE,2014J,607371,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn
44,BBB,2013J,2308870,F,London Region,Lower Than A Level,0-10%,35-55,0,60,Y,Fail
45,DDD,2014J,624108,M,North Region,Lower Than A Level,90-100%,0-35,1,120,N,Fail
46,EEE,2013J,587150,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Pass
47,DDD,2013J,604716,M,London Region,A Level or Equivalent,60-70%,0-35,0,166,N,Withdrawn
48,FFF,2013B,543916,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
49,CCC,2014J,2636903,M,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction
50,CCC,2014B,520301,M,South Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn
51,FFF,2014B,639875,M,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
52,FFF,2014J,734660,M,North Region,A Level or Equivalent,20-30%,0-35,0,90,N,Pass
