,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,BBB,2014B,584514,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
1,FFF,2013B,593004,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
2,EEE,2014J,506824,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass
3,FFF,2014B,617556,M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn
4,FFF,2014J,690556,M,Scotland,HE Qualification,70-80%,0-35,0,60,N,Pass
5,BBB,2014B,600908,F,South East Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
6,FFF,2014B,676333,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
7,GGG,2013J,685802,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail
8,CCC,2014J,202635,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
9,CCC,2014B,546124,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn
10,DDD,2014J,682316,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
11,FFF,2013J,593694,M,East Anglian Region,HE Qualification,10-20,35-55,0,60,N,Pass
12,FFF,2014J,676103,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn
13,BBB,2014B,626987,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
14,FFF,2013J,607473,M,Wales,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15,EEE,2014J,589162,F,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
16,GGG,2014J,687384,F,Yorkshire Region,HE Qualification,30-40%,35-55,0,30,N,Pass
17,CCC,2014J,645405,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Fail
18,FFF,2014B,618444,M,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
19,EEE,2013J,588710,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass
20,FFF,2014B,503400,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
