,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.032314554401720645,0.032314554401720645,0.032314554401720645,0.0,0.032314554401720645,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9555214723926381,0.9555214723926381,0.9555214723926381,0.0,0.9555214723926381,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.003067484662576687,0.003067484662576687,0.003067484662576687,0.0,0.003067484662576687,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.01872340501166765,0.01872340501166765,0.01872340501166765,0.0,0.01872340501166765,0.0,2,0,0.05,minimize
stats.chi_squared_test.marginal,0.553031448331946,0.553031448331946,0.553031448331946,0.0,0.553031448331946,0.0,2,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.878223538903499,0.878223538903499,0.878223538903499,0.0,0.878223538903499,0.0,2,0,0.0,maximize
stats.ks_test.marginal,0.8585122699386504,0.8585122699386504,0.8585122699386504,0.0,0.8585122699386504,0.0,2,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.003067614647723424,0.003067614647723424,0.003067614647723424,0.0,0.003067614647723424,0.0,2,0,0.02,minimize
stats.wasserstein_dist.joint,0.17831804539723048,0.17831804539723048,0.17831804539723048,0.0,0.17831804539723048,0.0,2,0,0.08,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.02,maximize
stats.prdc.recall,0.9800613496932515,0.9800613496932515,0.9800613496932515,0.0,0.9800613496932515,0.0,2,0,0.02,maximize
stats.prdc.density,1.0319018404907976,1.0319018404907976,1.0319018404907976,0.0,1.0319018404907976,0.0,2,0,0.02,maximize
stats.prdc.coverage,0.8113496932515337,0.8113496932515337,0.8113496932515337,0.0,0.8113496932515337,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8436887384528595,0.8436887384528595,0.8436887384528595,0.0,0.8436887384528595,0.0,2,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0024539877300612245,0.0024539877300612245,0.0024539877300612245,0.0,0.0024539877300612245,0.0,2,0,0.06,maximize
stats.alpha_precision.authenticity_OC,0.9785276073619632,0.9785276073619632,0.9785276073619632,0.0,0.9785276073619632,0.0,2,0,0.06,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9285593399619209,0.9285593399619209,0.9285593399619209,0.0,0.9285593399619209,0.0,2,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.19805725971370136,0.19805725971370136,0.19805725971370136,0.0,0.19805725971370136,0.0,2,0,0.06,maximize
stats.alpha_precision.authenticity_naive,0.6549079754601227,0.6549079754601227,0.6549079754601227,0.0,0.6549079754601227,0.0,2,0,0.06,maximize
performance.linear_model.gt,0.6560842186585664,0.6560842186585664,0.6560842186585664,0.0,0.6560842186585664,0.0,2,0,0.06,maximize
performance.linear_model.syn_id,0.6354104245095683,0.6354104245095683,0.6354104245095683,0.0,0.6354104245095683,0.0,2,0,0.06,maximize
performance.linear_model.syn_ood,0.6460967698075092,0.6460967698075092,0.6460967698075092,0.0,0.6460967698075092,0.0,2,0,0.06,maximize
performance.mlp.gt,0.44855638975631007,0.44855638975631007,0.44855638975631007,0.0,0.44855638975631007,0.0,2,0,3.54,maximize
performance.mlp.syn_id,0.5470289903217948,0.5470289903217948,0.5470289903217948,0.0,0.5470289903217948,0.0,2,0,3.54,maximize
performance.mlp.syn_ood,0.5470737913486005,0.5470737913486005,0.5470737913486005,0.0,0.5470737913486005,0.0,2,0,3.54,maximize
performance.xgb.gt,0.605234900972745,0.605234900972745,0.605234900972745,0.0,0.605234900972745,0.0,2,0,0.81,maximize
