,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,FFF,2013J,579162,M,South Region,Lower Than A Level,90-100%,0-35,0,150,N,Fail
1,DDD,2013J,559986,F,East Midlands Region,Lower Than A Level,70-80%,0-35,0,180,N,Withdrawn
2,FFF,2014B,604213,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
3,EEE,2014J,596092,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,Y,Withdrawn
4,BBB,2013J,599108,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
5,FFF,2014J,548140,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
6,FFF,2014J,493579,M,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Pass
7,EEE,2014J,623495,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass
8,DDD,2013J,566556,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,N,Fail
9,CCC,2014J,558262,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
10,EEE,2014B,571768,M,Wales,Lower Than A Level,20-30%,35-55,0,90,N,Withdrawn
11,EEE,2014J,605589,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
12,FFF,2014J,576143,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
13,BBB,2014J,599084,F,East Midlands Region,HE Qualification,60-70%,0-35,0,120,N,Withdrawn
14,FFF,2014B,547331,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
15,BBB,2014J,629088,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
16,CCC,2014B,634776,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,90,N,Withdrawn
17,DDD,2014J,498578,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
18,DDD,2014B,648990,M,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
19,BBB,2013J,627160,F,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
20,BBB,2014J,495377,F,Scotland,A Level or Equivalent,40-50%,0-35,0,120,Y,Pass
21,FFF,2013J,684357,M,Scotland,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
22,FFF,2014J,696706,M,South West Region,HE Qualification,30-40%,35-55,0,60,N,Pass
23,BBB,2013B,599114,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
24,FFF,2013B,588052,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn
25,DDD,2014J,585458,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
26,BBB,2014J,686262,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
27,DDD,2013B,678407,M,East Midlands Region,HE Qualification,50-60%,35-55,0,120,N,Pass
28,DDD,2013J,553682,F,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction
29,FFF,2014J,518771,M,East Anglian Region,HE Qualification,50-60%,0-35,0,90,N,Pass
30,DDD,2014J,547311,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,120,N,Fail
31,GGG,2014J,686003,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass
32,GGG,2014J,547784,F,South Region,A Level or Equivalent,70-80%,0-35,0,30,N,Withdrawn
33,FFF,2013J,585668,M,North Western Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction
34,DDD,2013J,604174,F,North Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
35,CCC,2014B,687384,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
36,GGG,2014B,585162,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,30,Y,Pass
37,DDD,2013J,615342,F,North Western Region,HE Qualification,80-90%,0-35,0,60,N,Withdrawn
38,DDD,2014B,623598,F,South West Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
39,CCC,2014B,495580,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
40,BBB,2014J,627772,F,South Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
41,DDD,2013J,2459706,F,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
42,CCC,2014J,590308,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
43,FFF,2014J,625502,M,East Anglian Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
44,BBB,2014J,527102,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
