,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,BBB,2014J,695729,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
1,EEE,2014B,626987,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
2,FFF,2014J,690669,F,East Anglian Region,HE Qualification,70-80%,0-35,0,60,N,Pass
3,BBB,2014B,688683,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
4,DDD,2014J,626597,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
5,CCC,2014J,630863,F,East Anglian Region,A Level or Equivalent,,0-35,0,60,N,Pass
6,BBB,2014J,385040,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Pass
7,FFF,2014J,679777,M,South Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Pass
8,FFF,2014J,2608453,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
9,DDD,2014J,648807,F,South Region,Lower Than A Level,,0-35,0,90,N,Withdrawn
10,FFF,2013J,55429,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
11,FFF,2013J,585128,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Pass
12,FFF,2013J,579081,M,North Region,A Level or Equivalent,,0-35,1,60,N,Pass
13,DDD,2013J,603861,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,90,N,Withdrawn
14,EEE,2014J,609089,M,Scotland,Lower Than A Level,50-60%,0-35,0,90,N,Fail
15,BBB,2013J,559808,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass
16,CCC,2014B,697192,M,North Western Region,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn
17,BBB,2014J,624156,M,Ireland,Lower Than A Level,0-10%,0-35,0,60,N,Pass
18,CCC,2014B,340899,M,North Western Region,Lower Than A Level,0-10%,35-55,0,90,N,Fail
19,EEE,2014J,686358,M,North Western Region,A Level or Equivalent,10-20,0-35,0,30,N,Withdrawn
20,FFF,2013J,588493,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
21,DDD,2013B,503569,F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
22,CCC,2014J,593123,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
23,BBB,2014J,260491,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
24,DDD,2013J,2622441,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
