,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.024605166371899474,0.024605166371899474,0.024605166371899474,0.0,0.024605166371899474,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9677914110429447,0.9677914110429447,0.9677914110429447,0.0,0.9677914110429447,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.007668711656441718,0.007668711656441718,0.007668711656441718,0.0,0.007668711656441718,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.011187413737480958,0.011187413737480958,0.011187413737480958,0.0,0.011187413737480958,0.0,2,0,0.04,minimize
stats.chi_squared_test.marginal,0.7240064102973788,0.7240064102973788,0.7240064102973788,0.0,0.7240064102973788,0.0,2,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9437016811796419,0.9437016811796419,0.9437016811796419,0.0,0.9437016811796419,0.0,2,0,0.0,maximize
stats.ks_test.marginal,0.9309815950920245,0.9309815950920245,0.9309815950920245,0.0,0.9309815950920245,0.0,2,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.0030693588683298753,0.0030693588683298753,0.0030693588683298753,0.0,0.0030693588683298753,0.0,2,0,0.01,minimize
stats.wasserstein_dist.joint,0.1355754138007963,0.1355754138007963,0.1355754138007963,0.0,0.1355754138007963,0.0,2,0,0.08,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.02,maximize
stats.prdc.recall,0.9677914110429447,0.9677914110429447,0.9677914110429447,0.0,0.9677914110429447,0.0,2,0,0.02,maximize
stats.prdc.density,1.038036809815951,1.038036809815951,1.038036809815951,0.0,1.038036809815951,0.0,2,0,0.02,maximize
stats.prdc.coverage,0.8358895705521472,0.8358895705521472,0.8358895705521472,0.0,0.8358895705521472,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.815041252379945,0.815041252379945,0.815041252379945,0.0,0.815041252379945,0.0,2,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.466359918200409,0.466359918200409,0.466359918200409,0.0,0.466359918200409,0.0,2,0,0.06,maximize
stats.alpha_precision.authenticity_OC,0.5506134969325154,0.5506134969325154,0.5506134969325154,0.0,0.5506134969325154,0.0,2,0,0.06,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8418200408997955,0.8418200408997955,0.8418200408997955,0.0,0.8418200408997955,0.0,2,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.49294478527607366,0.49294478527607366,0.49294478527607366,0.0,0.49294478527607366,0.0,2,0,0.06,maximize
stats.alpha_precision.authenticity_naive,0.5199386503067485,0.5199386503067485,0.5199386503067485,0.0,0.5199386503067485,0.0,2,0,0.06,maximize
performance.linear_model.gt,0.6560842186585664,0.6560842186585664,0.6560842186585664,0.0,0.6560842186585664,0.0,2,0,0.05,maximize
performance.linear_model.syn_id,0.618348564246315,0.618348564246315,0.618348564246315,0.0,0.618348564246315,0.0,2,0,0.05,maximize
performance.linear_model.syn_ood,0.6214284326865178,0.6214284326865178,0.6214284326865178,0.0,0.6214284326865178,0.0,2,0,0.05,maximize
performance.mlp.gt,0.44855638975631007,0.44855638975631007,0.44855638975631007,0.0,0.44855638975631007,0.0,2,0,3.44,maximize
performance.mlp.syn_id,0.5470289903217948,0.5470289903217948,0.5470289903217948,0.0,0.5470289903217948,0.0,2,0,3.44,maximize
performance.mlp.syn_ood,0.5470737913486005,0.5470737913486005,0.5470737913486005,0.0,0.5470737913486005,0.0,2,0,3.44,maximize
performance.xgb.gt,0.605234900972745,0.605234900972745,0.605234900972745,0.0,0.605234900972745,0.0,2,0,0.78,maximize
