,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.006150910358689316,0.007913021798338405,0.007031966078513861,0.0008810557198245445,0.007031966078513861,0.000881055719824545,2,0,0.01,minimize
sanity.close_values_probability.score,0.9918200408997955,0.9964212678936605,0.994120654396728,0.002300613496932502,0.994120654396728,0.0023006134969324465,2,0,0.01,maximize
sanity.distant_values_probability.score,0.0010224948875255625,0.0015337423312883436,0.001278118609406953,0.00025562372188139056,0.001278118609406953,0.00025562372188139056,2,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.005424835170232849,0.006229986339547029,0.005827410754889939,0.00040257558465709017,0.005827410754889939,0.00040257558465708974,2,0,0.08,minimize
stats.chi_squared_test.marginal,0.8223087730018931,0.9103232095818862,0.8663159912918896,0.04400721828999654,0.8663159912918896,0.04400721828999643,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.9798720092894966,0.9888642973496856,0.9843681533195912,0.004496144030094518,0.9843681533195912,0.004496144030094462,2,0,0.02,maximize
stats.ks_test.marginal,0.9441888207225629,0.9484918200408998,0.9463403203817313,0.002151499659168443,0.9463403203817313,0.0021514996591683877,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0010227820914213512,0.001022782099318283,0.0010227820953698172,3.948465903194642e-12,0.0010227820953698172,3.948466120035077e-12,2,0,0.22,minimize
stats.wasserstein_dist.joint,0.08830114469042499,0.09288608086628647,0.09059361277835573,0.002292468087930738,0.09059361277835573,0.002292468087930738,2,0,0.32,minimize
stats.prdc.precision,0.9596114519427403,0.9677914110429447,0.9637014314928425,0.004089979550102207,0.9637014314928425,0.004089979550102263,2,0,0.23,maximize
stats.prdc.recall,0.9948875255623721,0.9969325153374233,0.9959100204498977,0.0010224948875255935,0.9959100204498977,0.0010224948875257045,2,0,0.23,maximize
stats.prdc.density,0.9021472392638037,0.9135991820040901,0.9078732106339469,0.00572597137014319,0.9078732106339469,0.00572597137014319,2,0,0.23,maximize
stats.prdc.coverage,0.9079754601226994,0.9243353783231084,0.9161554192229039,0.008179959100204526,0.9161554192229039,0.008179959100204526,2,0,0.23,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8540899795501022,0.9150306748466257,0.884560327198364,0.03047034764826173,0.884560327198364,0.03047034764826173,2,0,0.18,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4324812542603953,0.4383094751192911,0.4353953646898432,0.0029141104294478914,0.4353953646898432,0.0029141104294478914,2,0,0.18,maximize
stats.alpha_precision.authenticity_OC,0.5209611451942741,0.549079754601227,0.5350204498977505,0.014059304703476494,0.5350204498977505,0.014059304703476494,2,0,0.18,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9761629410243754,0.9822732294384505,0.979218085231413,0.0030551442070375634,0.979218085231413,0.0030551442070376744,2,0,0.18,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.46250852079072935,0.47890252215405593,0.47070552147239264,0.008197000681663291,0.47070552147239264,0.008197000681663291,2,0,0.18,maximize
stats.alpha_precision.authenticity_naive,0.516359918200409,0.5199386503067485,0.5181492842535788,0.0017893660531697053,0.5181492842535788,0.0017893660531698163,2,0,0.18,maximize
performance.linear_model.gt,0.656156364399924,0.656156364399924,0.656156364399924,0.0,0.656156364399924,0.0,2,0,0.15,maximize
performance.linear_model.syn_id,0.657482344872853,0.6590651283292258,0.6582737366010394,0.0007913917281864302,0.6582737366010394,0.0007913917281863192,2,0,0.15,maximize
performance.linear_model.syn_ood,0.6652870331806193,0.6666059280855199,0.6659464806330696,0.0006594474524502791,0.6659464806330696,0.0006594474524501681,2,0,0.15,maximize
