,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.012003288748737767,0.012003288748737767,0.012003288748737767,0.0,0.012003288748737767,0.0,2,0,0.01,minimize
sanity.close_values_probability.score,0.9872188139059305,0.9872188139059305,0.9872188139059305,0.0,0.9872188139059305,0.0,2,0,0.01,maximize
sanity.distant_values_probability.score,0.0015337423312883436,0.0015337423312883436,0.0015337423312883436,0.0,0.0015337423312883436,0.0,2,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.017989121812013294,0.017989121812013294,0.017989121812013294,0.0,0.017989121812013294,0.0,2,0,0.04,minimize
stats.chi_squared_test.marginal,0.72652672152785,0.72652672152785,0.72652672152785,0.0,0.72652672152785,0.0,2,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8746946505076562,0.8746946505076562,0.8746946505076562,0.0,0.8746946505076562,0.0,2,0,0.01,maximize
stats.ks_test.marginal,0.862389229720518,0.862389229720518,0.862389229720518,0.0,0.862389229720518,0.0,2,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.0010227895725089574,0.0010227895725089574,0.0010227895725089574,0.0,0.0010227895725089574,0.0,2,0,0.11,minimize
stats.wasserstein_dist.joint,0.11689641669173814,0.11689641669173814,0.11689641669173814,0.0,0.11689641669173814,0.0,2,0,0.26,minimize
stats.prdc.precision,0.9979550102249489,0.9979550102249489,0.9979550102249489,0.0,0.9979550102249489,0.0,2,0,0.12,maximize
stats.prdc.recall,0.9340490797546013,0.9340490797546013,0.9340490797546013,0.0,0.9340490797546013,0.0,2,0,0.12,maximize
stats.prdc.density,0.9630879345603273,0.9630879345603273,0.9630879345603273,0.0,0.9630879345603273,0.0,2,0,0.12,maximize
stats.prdc.coverage,0.7730061349693251,0.7730061349693251,0.7730061349693251,0.0,0.7730061349693251,0.0,2,0,0.12,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7775427214817948,0.7775427214817948,0.7775427214817948,0.0,0.7775427214817948,0.0,2,0,1.19,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0030334014996590275,0.0030334014996590275,0.0030334014996590275,0.0,0.0030334014996590275,0.0,2,0,1.19,maximize
stats.alpha_precision.authenticity_OC,0.9657464212678937,0.9657464212678937,0.9657464212678937,0.0,0.9657464212678937,0.0,2,0,1.19,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8976541381660907,0.8976541381660907,0.8976541381660907,0.0,0.8976541381660907,0.0,2,0,1.19,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.22471029311520108,0.22471029311520108,0.22471029311520108,0.0,0.22471029311520108,0.0,2,0,1.19,maximize
stats.alpha_precision.authenticity_naive,0.6400817995910021,0.6400817995910021,0.6400817995910021,0.0,0.6400817995910021,0.0,2,0,1.19,maximize
performance.linear_model.gt,0.656156364399924,0.656156364399924,0.656156364399924,0.0,0.656156364399924,0.0,2,0,0.08,maximize
performance.linear_model.syn_id,0.6459967629418041,0.6459967629418041,0.6459967629418041,0.0,0.6459967629418041,0.0,2,0,0.08,maximize
performance.linear_model.syn_ood,0.648462446202971,0.648462446202971,0.648462446202971,0.0,0.648462446202971,0.0,2,0,0.08,maximize
performance.mlp.gt,0.5362268748330036,0.5362268748330036,0.5362268748330036,0.0,0.5362268748330036,0.0,2,0,7.84,maximize
performance.mlp.syn_id,0.47826044324819894,0.47826044324819894,0.47826044324819894,0.0,0.47826044324819894,0.0,2,0,7.84,maximize
performance.mlp.syn_ood,0.477891156462585,0.477891156462585,0.477891156462585,0.0,0.477891156462585,0.0,2,0,7.84,maximize
performance.xgb.gt,0.6487316753619715,0.6487316753619715,0.6487316753619715,0.0,0.6487316753619715,0.0,2,0,1.81,maximize
