,truth,action_click_about,action_click_courseware,action_click_forum,action_click_info,action_click_progress,action_close_courseware,action_close_forum,action_create_comment,action_create_thread,action_delete_comment,action_delete_thread,action_load_video,action_pause_video,action_play_video,action_problem_check,action_problem_check_correct,action_problem_check_incorrect,action_problem_get,action_problem_save,action_reset_problem,action_seek_video,action_stop_video,timestamp,time_difference,username,course_id
0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,7,58031303799,47669.012418388535,1,103
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435954330,-2611069.123778766,1665,79
2,0,0,0,1,0,1,1,0,3,0,0,0,1,0,1,9,1,11,1,0,0,1,0,57106872996,-79818.74454425514,292,104
3,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,3,69188215883,-2854058.8002004614,1,50
4,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,8,1,1,1,1,0,1,4,130744400139,-2577502.6039339635,1,12
5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,12,1,3,1,0,0,1,3,349709966185,-1609864.5186035116,171,128
6,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,12,1,0,1,1,0,1,21,811001531643,-2224901.0087454687,50,73
7,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,46813299167,-2259236.831866863,1427,13
8,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,11,0,5,1,0,0,1,1,31732852566,-118688.13037011135,1,89
9,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2,49980686575,-2267471.2018596213,1522,3
10,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,394174262210,-2102498.244884804,822,150
11,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,55503419923,-283348.9264175168,100,96
12,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,43,1,14,1,0,0,1,24,1951133629245,-2028711.8213785375,663,70
13,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,4,54244383476,-566922.2038626928,966,9
14,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,54503975606,-2517371.3324371343,660,178
15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1435954330,-2892113.940388183,1091,139
16,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12175219718,-478363.4255793494,1081,91
17,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,54188419467,1152560.3955010963,90,108
18,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,28545102880,916405.5569272337,550,1
19,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,3,7782606755,1090836.6025185343,1,37
20,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,11,35906399366,73463.25347529366,106,177
21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9780803191340,-533311.3664576754,1596,153
22,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,9,54175895392,-2979105.8320127176,977,72
23,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,10,33496755694,1337166.6548791535,1131,13
24,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,6,0,47,1,1,0,1,19,844351389767,878388.9752943286,241,182
25,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,3,1435954330,911770.0397640096,50,58
26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,1435954330,-770522.1184924501,656,31
27,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11513193100,-2260686.315958719,551,1
28,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1435954330,1071126.0156824489,100,20
29,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,39347088148,-2155535.949037701,1205,79
30,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1435954330,78567.06363691918,137,192
31,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1435954330,-2703742.987011398,164,112
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13068465178,-255949.4560374831,60,12
33,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,46717369565,657091.3832269277,319,67
34,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,6605340672,374658.405152577,785,182
35,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,23027383120,616113.9645943142,80,14
36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1435954330,-419353.38405798434,861,167
