,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.009717793986939047,0.01553990630988832,0.012628850148413685,0.002911056161474637,0.012628850148413685,0.002911056161474636,2,0,0.0,minimize
sanity.close_values_probability.score,0.9825,0.9875,0.9850000000000001,0.0025000000000000022,0.9850000000000001,0.0025000000000000577,2,0,0.0,maximize
sanity.distant_values_probability.score,0.0025,0.0025,0.0025,0.0,0.0025,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.005415008609438907,0.007447498233501411,0.006431253421470159,0.001016244812031252,0.006431253421470159,0.0010162448120312516,2,0,0.16,minimize
stats.chi_squared_test.marginal,0.607441379991204,0.623424067179849,0.6154327235855265,0.00799134359432252,0.6154327235855265,0.00799134359432263,2,0,0.03,maximize
stats.inv_kl_divergence.marginal,0.907348107049814,0.9260276618527135,0.9166878844512637,0.009339777401449756,0.9166878844512637,0.009339777401449867,2,0,0.03,maximize
stats.ks_test.marginal,0.9099074074074075,0.9584259259259258,0.9341666666666666,0.024259259259259147,0.9341666666666666,0.02425925925925909,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0046375,0.005,0.00481875,0.00018125,0.00481875,0.00018125000000000085,2,0,0.02,minimize
stats.wasserstein_dist.joint,0.5113567466429876,0.5222199874549102,0.5167883670489488,0.0054316204059612905,0.5167883670489488,0.005431620405961346,2,0,0.16,minimize
stats.prdc.precision,0.505,0.8975,0.7012499999999999,0.19624999999999998,0.7012499999999999,0.19624999999999992,2,0,0.02,maximize
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.02,maximize
stats.prdc.density,0.4975,0.895,0.69625,0.19875,0.69625,0.19874999999999998,2,0,0.02,maximize
stats.prdc.coverage,0.7025,0.7175,0.71,0.007500000000000007,0.71,0.007499999999999951,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7178333333333333,0.794867816091954,0.7563505747126437,0.03851724137931034,0.7563505747126437,0.03851724137931023,2,0,0.14,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.37483333333333335,0.47266666666666657,0.42374999999999996,0.04891666666666661,0.42374999999999996,0.04891666666666661,2,0,0.14,maximize
stats.alpha_precision.authenticity_OC,0.4975,0.57,0.53375,0.03624999999999998,0.53375,0.036250000000000004,2,0,0.14,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.928235632183908,0.9502758620689655,0.9392557471264368,0.011020114942528747,0.9392557471264368,0.011020114942528858,2,0,0.14,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.42500000000000004,0.43466666666666676,0.4298333333333334,0.004833333333333356,0.4298333333333334,0.004833333333333356,2,0,0.14,maximize
stats.alpha_precision.authenticity_naive,0.515,0.6175,0.56625,0.05125000000000002,0.56625,0.05125000000000002,2,0,0.14,maximize
performance.linear_model.gt,0.84880081300813,0.84880081300813,0.84880081300813,0.0,0.84880081300813,0.0,2,0,0.11,maximize
performance.linear_model.syn_id,0.15119918699186993,0.84880081300813,0.5,0.34880081300813004,0.5,0.34880081300813004,2,0,0.11,maximize
performance.linear_model.syn_ood,0.1561691113028473,0.8438308886971527,0.5,0.3438308886971527,0.5,0.3438308886971527,2,0,0.11,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,2,0,4.73,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,2,0,4.73,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,2,0,4.73,maximize
performance.xgb.gt,0.7824932249322494,0.7824932249322494,0.7824932249322494,0.0,0.7824932249322494,0.0,2,0,0.53,maximize
performance.xgb.syn_id,0.7697831978319783,0.8226829268292684,0.7962330623306233,0.026449864498645004,0.7962330623306233,0.026449864498644948,2,0,0.53,maximize
performance.xgb.syn_ood,0.7756686798964626,0.8317515099223468,0.8037100949094047,0.028041415012942106,0.8037100949094047,0.028041415012942217,2,0,0.53,maximize
performance.feat_rank_distance.corr,0.03481012658227848,0.21075949367088606,0.12278481012658227,0.0879746835443038,0.12278481012658227,0.0879746835443038,2,0,0.19,minimize
performance.feat_rank_distance.pvalue,0.0056573858090191225,0.6476617980078601,0.3266595919084396,0.32100220609942043,0.3266595919084396,0.3210022060994205,2,0,0.19,minimize
detection.detection_xgb.mean,0.8668104443580052,0.9755105415879504,0.9211604929729778,0.05435004861497256,0.9211604929729778,0.0543500486149725,2,0,0.2,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,2,0,1.84,minimize
detection.detection_linear.mean,0.5986481746955201,0.6545209393138328,0.6265845570046764,0.02793638230915635,0.6265845570046764,0.027936382309156405,2,0,1.56,minimize
privacy.delta-presence.score,2.42307692214497,4.999999950000001,3.7115384360724857,1.2884615139275155,3.7115384360724857,1.2884615139275155,2,0,2.08,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,3.56,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.50000001,0.5,1.50000001,0.5,2,0,3.56,maximize
privacy.k-map.score,1.0,2.0,1.5,0.5,1.5,0.5,2,0,1.75,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,3.82,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.50000001,0.5,1.50000001,0.5,2,0,3.82,maximize
privacy.identifiability_score.score,0.2825,0.3575,0.31999999999999995,0.037500000000000006,0.31999999999999995,0.03750000000000003,2,0,0.09,minimize
privacy.identifiability_score.score_OC,0.345,0.4125,0.37875,0.03375,0.37875,0.03375000000000006,2,0,0.09,minimize
privacy.DomiasMIA_BNAF.accuracy,0.006211180124223602,0.5012422360248447,0.2537267080745342,0.24751552795031057,0.2537267080745342,0.2475155279503106,2,0,174.1,minimize
privacy.DomiasMIA_BNAF.aucroc,0.60825,0.6223749999999999,0.6153124999999999,0.007062499999999972,0.6153124999999999,0.007062499999999972,2,0,174.1,minimize
