,truth,action_click_about,action_click_courseware,action_click_forum,action_click_info,action_click_progress,action_close_courseware,action_close_forum,action_create_comment,action_create_thread,action_delete_comment,action_delete_thread,action_load_video,action_pause_video,action_play_video,action_problem_check,action_problem_check_correct,action_problem_check_incorrect,action_problem_get,action_problem_save,action_reset_problem,action_seek_video,action_stop_video,timestamp,time_difference,username,course_id
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,72181318551,-2280245.0,1406,174
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6195356694,-1457796.0,583,144
2,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,8,1,5,1,0,0,1,4,280675936561,-175978.0,1712,181
3,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,9,1,1,1,1,0,1,3,936138546368,-772462.0,816,110
4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,88021150561,-1870873.0,1426,94
5,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,2,946302591663,-1445025.0,1631,61
6,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5904713583,17089.0,1788,123
7,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,3,11577694828,715558.0,518,81
8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457696568,-1169021.0,1635,56
9,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,7,1,0,1,0,0,1,2,205424659009,-2260650.0,1246,35
10,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,113501223475,-1198202.0,1709,82
11,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,14451423881,-1207928.0,567,38
12,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4422530197,-259967.0,1301,123
13,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,57714482063,-814750.0,1572,217
14,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,8,1,1,1,0,0,0,4,144785375066,-251474.0,1810,76
15,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16223398250,-1746391.0,1055,167
