,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.020445138907670222,0.020445138907670222,0.020445138907670222,0.0,0.020445138907670222,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9775,0.9775,0.9775,0.0,0.9775,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.0075,0.0075,0.0075,0.0,0.0075,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.009663465931925914,0.009663465931925914,0.009663465931925914,0.0,0.009663465931925914,0.0,2,0,0.11,minimize
stats.chi_squared_test.marginal,0.5752943457404063,0.5752943457404063,0.5752943457404063,0.0,0.5752943457404063,0.0,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.896802919413331,0.896802919413331,0.896802919413331,0.0,0.896802919413331,0.0,2,0,0.02,maximize
stats.ks_test.marginal,0.9201851851851853,0.9201851851851853,0.9201851851851853,0.0,0.9201851851851853,0.0,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.005,0.005,0.005,0.0,0.005,0.0,2,0,0.02,minimize
stats.wasserstein_dist.joint,0.48768051626438635,0.48768051626438635,0.48768051626438635,0.0,0.48768051626438635,0.0,2,0,0.09,minimize
stats.prdc.precision,0.895,0.895,0.895,0.0,0.895,0.0,2,0,0.02,maximize
stats.prdc.recall,0.99,0.99,0.99,0.0,0.99,0.0,2,0,0.02,maximize
stats.prdc.density,0.977,0.977,0.977,0.0,0.977,0.0,2,0,0.02,maximize
stats.prdc.coverage,0.8875,0.8875,0.8875,0.0,0.8875,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8113333333333334,0.8113333333333334,0.8113333333333334,0.0,0.8113333333333334,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4178333333333335,0.4178333333333335,0.4178333333333335,0.0,0.4178333333333335,0.0,2,0,0.08,maximize
stats.alpha_precision.authenticity_OC,0.5125,0.5125,0.5125,0.0,0.5125,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8758333333333334,0.8758333333333334,0.8758333333333334,0.0,0.8758333333333334,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4525,0.4525,0.4525,0.0,0.4525,0.0,2,0,0.08,maximize
stats.alpha_precision.authenticity_naive,0.56,0.56,0.56,0.0,0.56,0.0,2,0,0.08,maximize
performance.linear_model.gt,0.84880081300813,0.84880081300813,0.84880081300813,0.0,0.84880081300813,0.0,2,0,0.06,maximize
performance.linear_model.syn_id,0.15119918699186993,0.15119918699186993,0.15119918699186993,0.0,0.15119918699186993,0.0,2,0,0.06,maximize
performance.linear_model.syn_ood,0.1561691113028473,0.1561691113028473,0.1561691113028473,0.0,0.1561691113028473,0.0,2,0,0.06,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.28,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.28,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.28,maximize
performance.xgb.gt,0.7824932249322494,0.7824932249322494,0.7824932249322494,0.0,0.7824932249322494,0.0,2,0,0.26,maximize
performance.xgb.syn_id,0.7721815718157181,0.7721815718157181,0.7721815718157181,0.0,0.7721815718157181,0.0,2,0,0.26,maximize
performance.xgb.syn_ood,0.712683347713546,0.712683347713546,0.712683347713546,0.0,0.712683347713546,0.0,2,0,0.26,maximize
performance.feat_rank_distance.corr,0.0240506329113924,0.0240506329113924,0.0240506329113924,0.0,0.0240506329113924,0.0,2,0,0.1,minimize
performance.feat_rank_distance.pvalue,0.7521889749181708,0.7521889749181708,0.7521889749181708,0.0,0.7521889749181708,0.0,2,0,0.1,minimize
detection.detection_xgb.mean,0.8546765297262908,0.8546765297262908,0.8546765297262908,0.0,0.8546765297262908,0.0,2,0,0.12,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,2,0,0.92,minimize
detection.detection_linear.mean,0.5438146482804475,0.5438146482804475,0.5438146482804475,0.0,0.5438146482804475,0.0,2,0,0.82,minimize
privacy.delta-presence.score,6.999999930000001,6.999999930000001,6.999999930000001,0.0,6.999999930000001,0.0,2,0,0.87,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,2.05,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,2,0,2.05,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.88,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,1.65,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,2,0,1.65,maximize
privacy.identifiability_score.score,0.405,0.405,0.405,0.0,0.405,0.0,2,0,0.06,minimize
privacy.identifiability_score.score_OC,0.39,0.39,0.39,0.0,0.39,0.0,2,0,0.06,minimize
privacy.DomiasMIA_BNAF.accuracy,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0,0.006211180124223602,0.0,2,0,88.24,minimize
privacy.DomiasMIA_BNAF.aucroc,0.625875,0.625875,0.625875,0.0,0.625875,0.0,2,0,88.24,minimize
