,truth,action_click_about,action_click_courseware,action_click_forum,action_click_info,action_click_progress,action_close_courseware,action_close_forum,action_create_comment,action_create_thread,action_delete_comment,action_delete_thread,action_load_video,action_pause_video,action_play_video,action_problem_check,action_problem_check_correct,action_problem_check_incorrect,action_problem_get,action_problem_save,action_reset_problem,action_seek_video,action_stop_video,timestamp,time_difference,username,course_id
0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,27305089737,-1448211.0,716,169
1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,3,1,1,1,1,0,1,4,142870997635,518650.0,449,144
2,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,141455003532,-155826.0,438,181
3,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5,583869578865,-854430.0,822,221
4,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2,0,2,1,0,0,1,2,2948282457,-589525.0,672,132
5,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,81820395549,-113062.0,1401,81
6,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5838761167,-273912.0,1701,38
7,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,14,1,1,1,0,0,1,23,141213139845,-225824.0,784,68
8,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,1,1,1,0,1,6,14851283614,-1450320.0,1384,78
9,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,53929392476,-9378.0,1664,81
10,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3445654416,-233899.0,897,52
11,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,3,1,1,1,0,0,0,1,1489186789,-209910.0,1774,124
12,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29431299079,705628.0,1068,1
13,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,85978493763,-1427211.0,851,118
14,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,98875241393,-1207380.0,903,94
15,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,141418157965,-699592.0,1334,85
16,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,11452212079,-72263.0,793,68
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874341657,-183857.0,1448,144
18,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,24,1,1,1,1,0,1,0,293978650166,-888898.0,1849,122
19,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,11,1,17,1,1,0,1,12,353665297913,-12962.0,1051,119
20,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,101101105948,-191807.0,1045,99
21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,886889381291,-123909.0,1597,14
22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60726389625,-159901.0,461,14
