,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.025488070850621717,0.025488070850621717,0.025488070850621717,0.0,0.025488070850621717,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.9625,0.9625,0.9625,0.0,0.9625,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.0075,0.0075,0.0075,0.0,0.0075,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.010100399247675404,0.010100399247675404,0.010100399247675404,0.0,0.010100399247675404,0.0,2,0,0.1,minimize
stats.chi_squared_test.marginal,0.5733865106195123,0.5733865106195123,0.5733865106195123,0.0,0.5733865106195123,0.0,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.8982866533308695,0.8982866533308695,0.8982866533308695,0.0,0.8982866533308695,0.0,2,0,0.02,maximize
stats.ks_test.marginal,0.9189814814814816,0.9189814814814816,0.9189814814814816,0.0,0.9189814814814816,0.0,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.005,0.005,0.005,0.0,0.005,0.0,2,0,0.02,minimize
stats.wasserstein_dist.joint,0.5062917647028397,0.5062917647028397,0.5062917647028397,0.0,0.5062917647028397,0.0,2,0,0.09,minimize
stats.prdc.precision,0.785,0.785,0.785,0.0,0.785,0.0,2,0,0.02,maximize
stats.prdc.recall,0.9925,0.9925,0.9925,0.0,0.9925,0.0,2,0,0.02,maximize
stats.prdc.density,0.7490000000000001,0.7490000000000001,0.7490000000000001,0.0,0.7490000000000001,0.0,2,0,0.02,maximize
stats.prdc.coverage,0.7175,0.7175,0.7175,0.0,0.7175,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7578333333333334,0.7578333333333334,0.7578333333333334,0.0,0.7578333333333334,0.0,2,0,1.12,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.39816666666666667,0.39816666666666667,0.39816666666666667,0.0,0.39816666666666667,0.0,2,0,1.12,maximize
stats.alpha_precision.authenticity_OC,0.52,0.52,0.52,0.0,0.52,0.0,2,0,1.12,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.847,0.847,0.847,0.0,0.847,0.0,2,0,1.12,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.5045,0.5045,0.5045,0.0,0.5045,0.0,2,0,1.12,maximize
stats.alpha_precision.authenticity_naive,0.5575,0.5575,0.5575,0.0,0.5575,0.0,2,0,1.12,maximize
performance.linear_model.gt,0.84880081300813,0.84880081300813,0.84880081300813,0.0,0.84880081300813,0.0,2,0,0.06,maximize
performance.linear_model.syn_id,0.15119918699186993,0.15119918699186993,0.15119918699186993,0.0,0.15119918699186993,0.0,2,0,0.06,maximize
performance.linear_model.syn_ood,0.1561691113028473,0.1561691113028473,0.1561691113028473,0.0,0.1561691113028473,0.0,2,0,0.06,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.23,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.23,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.23,maximize
performance.xgb.gt,0.7824932249322494,0.7824932249322494,0.7824932249322494,0.0,0.7824932249322494,0.0,2,0,0.27,maximize
performance.xgb.syn_id,0.6696883468834688,0.6696883468834688,0.6696883468834688,0.0,0.6696883468834688,0.0,2,0,0.27,maximize
performance.xgb.syn_ood,0.728213977566868,0.728213977566868,0.728213977566868,0.0,0.728213977566868,0.0,2,0,0.27,maximize
performance.feat_rank_distance.corr,0.17468354430379746,0.17468354430379746,0.17468354430379746,0.0,0.17468354430379746,0.0,2,0,0.1,minimize
performance.feat_rank_distance.pvalue,0.021826502105611382,0.021826502105611382,0.021826502105611382,0.0,0.021826502105611382,0.0,2,0,0.1,minimize
detection.detection_xgb.mean,0.9135508505299833,0.9135508505299833,0.9135508505299833,0.0,0.9135508505299833,0.0,2,0,0.12,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,2,0,0.9,minimize
detection.detection_linear.mean,0.6219559391127353,0.6219559391127353,0.6219559391127353,0.0,0.6219559391127353,0.0,2,0,0.73,minimize
privacy.delta-presence.score,12.4999999375,12.4999999375,12.4999999375,0.0,12.4999999375,0.0,2,0,0.98,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,1.64,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,2,0,1.64,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.9,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,1.78,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,2,0,1.78,maximize
privacy.identifiability_score.score,0.295,0.295,0.295,0.0,0.295,0.0,2,0,0.06,minimize
privacy.identifiability_score.score_OC,0.32,0.32,0.32,0.0,0.32,0.0,2,0,0.06,minimize
privacy.DomiasMIA_BNAF.accuracy,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0,0.006211180124223602,0.0,2,0,86.97,minimize
privacy.DomiasMIA_BNAF.aucroc,0.6373125,0.6373125,0.6373125,0.0,0.6373125,0.0,2,0,86.97,minimize
