,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.014409469517047723,0.014409469517047723,0.014409469517047723,0.0,0.014409469517047723,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.99,0.99,0.99,0.0,0.99,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.005,0.005,0.005,0.0,0.005,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.010137608704891268,0.010137608704891268,0.010137608704891268,0.0,0.010137608704891268,0.0,2,0,0.1,minimize
stats.chi_squared_test.marginal,0.5317330515717822,0.5317330515717822,0.5317330515717822,0.0,0.5317330515717822,0.0,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.8936630905094849,0.8936630905094849,0.8936630905094849,0.0,0.8936630905094849,0.0,2,0,0.02,maximize
stats.ks_test.marginal,0.9225,0.9225,0.9225,0.0,0.9225,0.0,2,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.005,0.005,0.005,0.0,0.005,0.0,2,0,0.02,minimize
stats.wasserstein_dist.joint,0.44723740505414394,0.44723740505414394,0.44723740505414394,0.0,0.44723740505414394,0.0,2,0,0.08,minimize
stats.prdc.precision,0.875,0.875,0.875,0.0,0.875,0.0,2,0,0.02,maximize
stats.prdc.recall,0.97,0.97,0.97,0.0,0.97,0.0,2,0,0.02,maximize
stats.prdc.density,0.918,0.918,0.918,0.0,0.918,0.0,2,0,0.02,maximize
stats.prdc.coverage,0.8075,0.8075,0.8075,0.0,0.8075,0.0,2,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8625,0.8625,0.8625,0.0,0.8625,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4656666666666667,0.4656666666666667,0.4656666666666667,0.0,0.4656666666666667,0.0,2,0,0.08,maximize
stats.alpha_precision.authenticity_OC,0.5375,0.5375,0.5375,0.0,0.5375,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8341666666666667,0.8341666666666667,0.8341666666666667,0.0,0.8341666666666667,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4653333333333334,0.4653333333333334,0.4653333333333334,0.0,0.4653333333333334,0.0,2,0,0.08,maximize
stats.alpha_precision.authenticity_naive,0.6175,0.6175,0.6175,0.0,0.6175,0.0,2,0,0.08,maximize
performance.linear_model.gt,0.84880081300813,0.84880081300813,0.84880081300813,0.0,0.84880081300813,0.0,2,0,0.06,maximize
performance.linear_model.syn_id,0.15119918699186993,0.15119918699186993,0.15119918699186993,0.0,0.15119918699186993,0.0,2,0,0.06,maximize
performance.linear_model.syn_ood,0.1561691113028473,0.1561691113028473,0.1561691113028473,0.0,0.1561691113028473,0.0,2,0,0.06,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.31,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.31,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,2,0,2.31,maximize
performance.xgb.gt,0.7824932249322494,0.7824932249322494,0.7824932249322494,0.0,0.7824932249322494,0.0,2,0,0.26,maximize
performance.xgb.syn_id,0.783340108401084,0.783340108401084,0.783340108401084,0.0,0.783340108401084,0.0,2,0,0.26,maximize
performance.xgb.syn_ood,0.7592752372735116,0.7592752372735116,0.7592752372735116,0.0,0.7592752372735116,0.0,2,0,0.26,maximize
performance.feat_rank_distance.corr,0.04620253164556962,0.04620253164556962,0.04620253164556962,0.0,0.04620253164556962,0.0,2,0,0.1,minimize
performance.feat_rank_distance.pvalue,0.5441292032082073,0.5441292032082073,0.5441292032082073,0.0,0.5441292032082073,0.0,2,0,0.1,minimize
detection.detection_xgb.mean,0.8954648713580607,0.8954648713580607,0.8954648713580607,0.0,0.8954648713580607,0.0,2,0,0.12,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,2,0,0.94,minimize
detection.detection_linear.mean,0.5558055446100382,0.5558055446100382,0.5558055446100382,0.0,0.5558055446100382,0.0,2,0,0.73,minimize
privacy.delta-presence.score,6.999999930000001,6.999999930000001,6.999999930000001,0.0,6.999999930000001,0.0,2,0,1.02,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,1.6,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,2,0,1.6,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.85,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,2,0,1.84,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,2,0,1.84,maximize
privacy.identifiability_score.score,0.3925,0.3925,0.3925,0.0,0.3925,0.0,2,0,0.05,minimize
privacy.identifiability_score.score_OC,0.4075,0.4075,0.4075,0.0,0.4075,0.0,2,0,0.05,minimize
privacy.DomiasMIA_BNAF.accuracy,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0,0.006211180124223602,0.0,2,0,86.31,minimize
privacy.DomiasMIA_BNAF.aucroc,0.6551562500000001,0.6551562500000001,0.6551562500000001,0.0,0.6551562500000001,0.0,2,0,86.31,minimize
