,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Average time to submit assignment (in hours)
0,73,68,71,70,87,75,72,217,0,0,0,0,0,0,123.39077250384777
1,77,79,71,33,84,50,65,384,0,1,4,0,1,0,272.02755175959305
2,4,66,86,67,100,72,68,198,0,0,0,0,0,0,274.3295236942376
3,75,19,63,78,83,40,62,348,0,0,0,0,0,0,133.09936210530824
4,72,87,80,87,96,79,78,275,0,0,2,0,0,0,255.49306064228722
5,74,84,75,83,92,76,62,215,0,0,0,0,0,0,237.51948104351592
6,72,80,68,82,84,44,56,256,0,0,2,0,0,0,259.45496291136493
7,94,60,66,60,64,51,49,228,0,0,1,0,0,0,263.263850538089
8,90,85,88,88,80,56,82,227,0,0,1,0,0,0,79.06385564404272
9,77,85,77,87,89,72,118,517,0,0,1,0,0,0,248.29063777271318
10,72,77,73,77,84,72,57,213,0,0,1,0,0,0,91.56624078629854
11,89,66,71,81,76,71,61,162,0,0,0,0,0,0,256.92921056187834
12,86,87,70,68,89,57,74,211,0,0,4,0,0,1,130.49065240482906
13,88,88,74,71,90,76,80,307,0,0,2,0,0,0,271.7446914811116
14,76,78,66,85,95,52,81,245,0,0,0,0,0,0,294.45168141602574
15,84,88,89,86,99,77,137,377,0,0,0,0,0,0,284.2203952315645
16,91,80,78,85,82,53,63,378,0,0,0,0,0,0,264.75864236611153
17,75,79,75,63,90,58,56,152,0,0,3,0,0,0,126.57831281335974
18,71,80,73,85,91,64,62,368,0,0,2,0,0,0,119.91764419815769
19,92,79,64,84,86,51,80,352,0,0,0,0,0,0,262.0498886693535
20,67,81,82,51,90,49,17,183,0,0,0,0,0,0,136.51652389729406
21,75,73,79,92,88,77,103,299,0,0,0,0,0,0,167.86833623605355
22,92,86,73,89,96,57,63,192,0,0,2,0,0,0,111.7977781161143
23,75,72,85,81,91,58,70,178,7,0,1,0,0,0,271.45106455882365
24,84,68,70,81,89,65,50,208,0,0,0,0,0,0,123.25852530141299
25,94,82,75,84,88,72,119,360,0,0,0,0,0,0,97.33018586334818
26,75,83,76,85,91,68,52,223,0,0,2,0,0,0,264.4322658000091
27,78,87,73,76,85,75,76,350,0,0,7,0,0,0,127.96027574250498
28,78,77,54,76,87,49,49,285,0,0,6,0,0,0,257.3706943956383
29,88,88,79,87,93,72,87,231,0,0,1,0,0,0,222.47729363957734
30,79,88,78,82,92,65,124,605,0,0,3,0,0,0,244.49330341907455
31,81,78,85,79,86,74,61,238,0,0,2,0,0,0,164.85729116992945
32,95,54,45,48,62,43,92,412,0,0,2,0,0,0,88.59691576355685
33,84,89,78,86,89,79,55,182,6,0,0,0,0,0,251.48120759770347
34,85,62,58,52,70,51,75,362,0,0,4,0,0,0,159.8197093127486
35,90,49,69,74,79,49,75,206,0,0,2,0,0,0,109.42764382555306
36,85,82,78,86,93,70,110,244,0,0,2,0,0,0,152.54427355219568
37,72,85,83,86,98,80,71,292,0,0,0,0,0,0,266.993885652283
38,77,84,57,84,77,54,111,390,0,0,1,0,0,0,281.61731586453436
39,79,90,88,79,87,79,122,369,0,0,0,0,0,0,114.51308320389398
40,72,80,76,81,91,72,52,210,0,0,3,0,0,0,143.08433476261703
41,96,90,85,81,90,76,150,448,0,0,1,0,0,0,278.25231494662114
42,70,69,77,79,85,51,60,179,0,0,1,0,0,0,252.38340892058187
43,80,71,89,67,84,66,35,165,0,0,0,0,0,0,102.57176546727614
44,82,85,56,68,76,55,72,188,0,0,1,0,0,0,260.5219467183413
45,86,62,70,69,68,55,52,326,0,0,1,0,0,0,81.60516625748883
46,92,65,75,81,96,74,107,378,0,2,2,0,0,0,100.16134190678088
47,92,86,74,84,89,77,64,238,0,0,0,0,0,0,142.48102571732915
48,89,73,50,67,18,50,50,219,35,1,2,0,0,0,279.8224284570147
49,85,83,74,69,88,71,101,350,0,0,1,0,0,0,256.15399310237973
50,74,68,67,73,84,58,58,226,0,0,4,0,1,0,156.7096681680766
51,86,76,72,74,84,63,73,369,0,0,1,0,0,0,297.52048940563316
52,73,56,41,0,64,40,30,336,0,0,1,0,0,0,263.42372182481597
53,95,88,72,74,30,52,56,230,0,0,4,0,0,0,277.9359937145242
54,78,74,90,85,93,76,59,164,0,0,0,0,0,0,272.5415759662231
55,80,88,85,86,95,72,77,390,0,0,6,0,0,0,270.3462226103708
56,72,76,67,66,94,53,36,176,0,0,1,0,0,0,289.7023452355464
57,79,61,74,88,90,75,53,155,0,0,0,0,0,0,109.26739464666112
58,87,74,72,85,93,80,85,206,0,0,1,0,0,0,279.3654148491484
59,86,67,71,85,80,71,67,217,0,0,0,0,0,0,148.87957731750095
60,76,86,84,76,89,72,68,256,0,0,2,0,0,0,148.89611864122173
61,84,84,88,82,92,75,104,329,0,0,1,0,0,0,274.0333410534703
62,85,80,79,87,93,82,81,255,0,0,1,0,0,0,83.79574464923914
63,72,86,87,77,93,69,69,380,0,0,1,0,0,0,117.35956081860128
64,81,75,70,80,86,49,54,390,0,0,0,0,0,0,273.3504351460841
65,72,83,77,89,96,81,75,233,0,0,0,0,0,0,132.14243972093166
