,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.12159496134827212,0.13171181242534866,0.12665338688681038,0.005058425538538268,0.12665338688681038,0.005058425538538275,2,0,0.0,minimize
sanity.close_values_probability.score,0.8571428571428571,0.8673469387755102,0.8622448979591837,0.005102040816326536,0.8622448979591837,0.005102040816326592,2,0,0.0,maximize
sanity.distant_values_probability.score,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.018972802384213196,0.01940867072982207,0.019190736557017633,0.00021793417280443692,0.019190736557017633,0.00021793417280444038,2,0,0.1,minimize
stats.chi_squared_test.marginal,0.25068249378391044,0.36162157479642276,0.3061520342901666,0.05546954050625616,0.3061520342901666,0.05546954050625613,2,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.5728579625207222,0.577691282284317,0.5752746224025196,0.0024166598817974005,0.5752746224025196,0.0024166598817974005,2,0,0.01,maximize
stats.ks_test.marginal,0.8190476190476192,0.8503401360544217,0.8346938775510204,0.015646258503401234,0.8346938775510204,0.01564625850340129,2,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.020408163265245513,0.020408163265263696,0.020408163265254603,9.091685903089911e-15,0.020408163265254603,9.093420461070423e-15,2,0,0.01,minimize
stats.wasserstein_dist.joint,0.329149434805882,0.7553523557789117,0.5422508952923968,0.21310146048651485,0.5422508952923968,0.2131014604865148,2,0,0.02,minimize
stats.prdc.precision,0.8877551020408163,0.9693877551020408,0.9285714285714286,0.040816326530612235,0.9285714285714286,0.04081632653061218,2,0,0.01,maximize
stats.prdc.recall,0.7346938775510204,0.8061224489795918,0.7704081632653061,0.0357142857142857,0.7704081632653061,0.03571428571428559,2,0,0.01,maximize
stats.prdc.density,0.7795918367346939,1.1755102040816328,0.9775510204081633,0.19795918367346943,0.9775510204081633,0.19795918367346954,2,0,0.01,maximize
stats.prdc.coverage,0.8061224489795918,0.9285714285714286,0.8673469387755102,0.06122448979591838,0.8673469387755102,0.061224489795918324,2,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.4047619047619049,0.5210884353741498,0.46292517006802736,0.05816326530612248,0.46292517006802736,0.05816326530612248,2,0,0.08,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4324888576120104,0.4653061224489795,0.44889749003049495,0.01640863241848456,0.44889749003049495,0.01640863241848456,2,0,0.08,maximize
stats.alpha_precision.authenticity_OC,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.0,2,0,0.08,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7416373445930097,0.9585737743373212,0.8501055594651654,0.10846821487215574,0.8501055594651654,0.10846821487215585,2,0,0.08,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.1829931972789116,0.40204081632653066,0.29251700680272114,0.10952380952380952,0.29251700680272114,0.1095238095238095,2,0,0.08,maximize
stats.alpha_precision.authenticity_naive,0.5510204081632653,0.7142857142857143,0.6326530612244898,0.08163265306122452,0.6326530612244898,0.08163265306122447,2,0,0.08,maximize
performance.linear_model.gt,-0.44203921856272205,-0.44203921856272205,-0.44203921856272205,0.0,-0.44203921856272205,0.0,2,0,0.03,maximize
performance.linear_model.syn_id,0.09473072481919886,0.26428513768966966,0.17950793125443426,0.0847772064352354,0.17950793125443426,0.0847772064352354,2,0,0.03,maximize
performance.linear_model.syn_ood,0.11551461987173639,0.32426574450756784,0.21989018218965212,0.10437556231791573,0.21989018218965212,0.10437556231791575,2,0,0.03,maximize
performance.mlp.gt,-0.24744512702140864,-0.24744512702140864,-0.24744512702140864,0.0,-0.24744512702140864,0.0,2,0,8.73,maximize
