,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Average time to submit assignment (in hours)
0,80,82,70,76,90,67,93,301,0,0,3,0,0,0,85.64444
1,100,78,60,81,86,61,56,239,0,0,0,0,0,0,65.06667
2,70,90,83,84,89,70,74,396,0,0,0,0,0,0,100.72222
3,70,70,80,74,85,71,70,160,0,0,2,0,0,0,64.22222
4,75,79,70,81,88,57,90,315,0,0,3,0,0,0,132.92222
5,80,84,88,83,90,76,86,169,0,0,0,0,0,0,241.73889
6,75,86,65,84,66,74,72,270,0,0,0,0,0,0,248.11111
7,75,65,63,76,84,60,85,160,0,0,1,0,0,0,83.8
8,80,88,73,74,73,53,74,228,0,0,2,0,0,0,77.56667
9,90,83,90,88,86,83,73,255,0,0,4,0,0,0,241.83333
10,90,95,78,89,82,71,68,208,0,0,0,0,0,0,238.35
11,70,70,60,79,74,76,62,150,0,0,1,0,0,0,259.49444
12,85,89,85,91,90,59,92,463,0,0,0,0,0,0,241.95556
13,70,93,85,91,82,59,138,361,0,0,3,0,0,0,83.74444
14,70,89,75,88,80,57,61,399,0,0,1,0,0,0,54.84444
15,100,89,70,70,77,40,70,161,0,0,2,0,0,0,116.29444
16,85,74,90,85,86,80,92,190,0,0,2,0,0,0,218.57778
17,95,91,90,81,75,73,68,202,0,0,3,0,0,0,283.16667
18,70,83,95,84,91,86,110,166,0,0,0,0,0,0,378.60556
19,95,66,68,62,66,53,61,173,0,0,1,0,0,0,241.73889
20,85,71,65,46,70,60,60,169,0,0,2,0,0,0,277.27222
21,70,79,78,82,82,80,80,342,0,0,1,0,0,0,129.96667
22,90,78,88,88,83,59,56,195,0,0,1,0,0,0,260.72778
23,85,70,78,71,87,54,55,519,0,0,2,0,0,0,99.52778
24,75,86,80,76,89,74,69,421,2,0,1,0,0,0,146.13889
25,100,85,88,75,91,60,85,518,0,0,4,0,0,0,276.76111
26,85,83,85,87,90,64,75,399,0,0,2,0,0,0,280.84444
27,80,81,95,71,82,61,55,359,0,0,1,0,0,0,83.56667
28,85,75,60,79,92,65,69,286,0,0,1,0,0,0,359.92778
29,65,0,65,0,0,0,51,216,0,0,0,0,0,0,47.69444
30,80,83,63,54,66,36,52,342,0,0,1,0,0,0,246.82222
