,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.15774858106438788,0.15774858106438788,0.15774858106438788,0.0,0.15774858106438788,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.8061224489795918,0.8061224489795918,0.8061224489795918,0.0,0.8061224489795918,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.013502793491408106,0.013502793491408106,0.013502793491408106,0.0,0.013502793491408106,0.0,2,0,0.06,minimize
stats.chi_squared_test.marginal,0.1995459755278717,0.1995459755278717,0.1995459755278717,0.0,0.1995459755278717,0.0,2,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.6026292290199652,0.6026292290199652,0.6026292290199652,0.0,0.6026292290199652,0.0,2,0,0.01,maximize
stats.ks_test.marginal,0.8707482993197279,0.8707482993197279,0.8707482993197279,0.0,0.8707482993197279,0.0,2,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.020408163265263696,0.020408163265263696,0.020408163265263696,0.0,0.020408163265263696,0.0,2,0,0.0,minimize
stats.wasserstein_dist.joint,0.18817881494285943,0.18817881494285943,0.18817881494285943,0.0,0.18817881494285943,0.0,2,0,0.0,minimize
stats.prdc.precision,0.9693877551020408,0.9693877551020408,0.9693877551020408,0.0,0.9693877551020408,0.0,2,0,0.0,maximize
stats.prdc.recall,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.0,0.9183673469387755,0.0,2,0,0.0,maximize
stats.prdc.density,1.0591836734693878,1.0591836734693878,1.0591836734693878,0.0,1.0591836734693878,0.0,2,0,0.0,maximize
stats.prdc.coverage,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.0,0.9795918367346939,0.0,2,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.5707482993197279,0.5707482993197279,0.5707482993197279,0.0,0.5707482993197279,0.0,2,0,0.04,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.48707482993197293,0.48707482993197293,0.48707482993197293,0.0,0.48707482993197293,0.0,2,0,0.04,maximize
stats.alpha_precision.authenticity_OC,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.0,2,0,0.04,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.85578231292517,0.85578231292517,0.85578231292517,0.0,0.85578231292517,0.0,2,0,0.04,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3767065446868403,0.3767065446868403,0.3767065446868403,0.0,0.3767065446868403,0.0,2,0,0.04,maximize
stats.alpha_precision.authenticity_naive,0.47959183673469385,0.47959183673469385,0.47959183673469385,0.0,0.47959183673469385,0.0,2,0,0.04,maximize
performance.linear_model.gt,-0.44203921856272205,-0.44203921856272205,-0.44203921856272205,0.0,-0.44203921856272205,0.0,2,0,0.02,maximize
performance.linear_model.syn_id,0.13150388775728342,0.13150388775728342,0.13150388775728342,0.0,0.13150388775728342,0.0,2,0,0.02,maximize
performance.linear_model.syn_ood,0.21256740646337813,0.21256740646337813,0.21256740646337813,0.0,0.21256740646337813,0.0,2,0,0.02,maximize
performance.mlp.gt,-0.24744512702140864,-0.24744512702140864,-0.24744512702140864,0.0,-0.24744512702140864,0.0,2,0,5.48,maximize
performance.mlp.syn_id,0.2093877163986085,0.2093877163986085,0.2093877163986085,0.0,0.2093877163986085,0.0,2,0,5.48,maximize
performance.mlp.syn_ood,-0.09484311235412424,-0.09484311235412424,-0.09484311235412424,0.0,-0.09484311235412424,0.0,2,0,5.48,maximize
