,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Average time to submit assignment (in hours)
0,80,74,80,74,80,75,79,226,0,0,3,0,0,0,241.73889
1,100,60,80,83,53,69,49,224,0,0,1,0,0,0,248.11111
2,100,89,70,90,92,54,77,177,0,0,0,0,0,0,279.46667
3,80,81,90,86,86,57,63,238,0,0,2,0,0,0,241.73889
4,75,61,85,81,80,51,78,151,0,0,2,0,0,0,116.76111
5,70,86,85,86,88,60,89,247,0,0,0,0,0,0,334.01111
6,65,89,80,84,90,54,86,229,0,0,1,0,0,0,279.47778
7,70,75,63,76,75,41,70,275,0,0,1,0,0,0,277.49444
8,80,84,75,85,94,49,92,223,0,0,4,0,0,0,260.72778
9,85,80,85,79,93,79,67,177,0,0,1,0,0,0,124.78333
10,70,80,70,82,86,60,90,230,0,0,1,0,0,0,89.41667
11,80,73,88,91,83,69,87,321,0,0,4,0,0,0,92.65556
12,90,82,90,81,86,80,43,173,0,0,3,0,0,0,83.56667
13,70,87,73,74,85,51,78,228,0,0,2,0,0,0,359.92778
14,80,73,80,85,85,64,111,230,0,0,3,0,0,0,246.82222
15,85,85,90,85,87,73,66,197,0,0,2,0,0,0,308.47778
16,90,74,80,76,80,41,69,165,0,0,0,0,0,0,139.85
17,70,86,88,94,70,0,91,194,0,0,1,0,0,0,81.61111
18,85,67,65,68,73,56,83,169,0,0,0,0,0,0,253.64444
19,80,91,80,84,88,56,71,258,0,0,2,0,0,0,270.77222
20,80,84,45,68,75,40,46,216,0,0,2,0,0,0,65.06667
21,85,86,88,91,88,79,73,304,0,0,1,0,0,0,132.92222
22,80,86,80,73,84,73,113,197,0,0,2,0,0,0,77.56667
23,80,90,80,93,89,70,62,219,0,0,2,0,0,0,240.12778
24,0,65,63,58,84,43,61,177,0,0,0,0,0,0,259.49444
25,75,72,78,89,82,61,49,442,0,0,1,0,0,0,231.31111
26,80,78,78,79,80,74,80,344,0,0,0,0,0,0,277.27222
27,80,76,83,78,72,64,78,305,0,0,4,0,0,0,277.49444
28,80,96,78,93,73,69,61,196,0,0,0,0,0,0,134.72222
29,75,87,63,73,80,64,43,210,0,0,1,0,0,0,260.72778
30,80,72,83,92,91,57,69,228,0,0,0,0,0,0,64.87778
31,70,0,68,0,86,51,31,298,0,0,1,0,0,0,96.38333
32,70,76,90,73,66,51,73,319,0,0,0,0,0,0,83.56667
33,75,66,80,66,64,71,68,219,0,0,1,0,0,0,86.52778
34,80,86,83,84,85,74,93,260,0,0,2,0,0,0,231.86111
35,70,96,70,60,75,50,51,230,0,0,1,0,0,0,133.31111
36,70,71,73,83,0,0,74,359,0,0,0,0,0,0,253.64444
37,85,86,85,89,90,70,51,239,0,0,2,0,0,0,270.77222
38,70,86,88,85,81,80,75,228,0,0,0,0,0,0,104.14444
39,85,93,88,88,90,76,92,251,0,0,2,0,0,0,261.49444
40,70,93,80,86,79,59,62,305,0,0,0,0,0,0,241.73889
41,85,80,73,78,81,55,61,239,0,0,0,0,0,0,288.03333
42,85,70,88,76,78,46,107,228,0,0,3,0,0,0,83.8
43,60,79,85,84,87,63,80,315,0,0,4,0,0,0,83.70556
44,85,87,93,93,94,63,91,216,0,0,2,0,0,0,142.67222
45,75,84,63,83,94,54,76,342,0,0,4,0,0,0,82.54444
46,85,70,87,90,80,73,106,434,0,0,2,0,0,0,97.61667
47,75,71,80,93,88,61,56,231,0,0,2,0,0,0,279.46667
48,95,84,88,81,79,74,113,365,0,0,3,0,0,0,83.74444
49,75,70,63,72,74,44,68,319,0,0,0,0,0,0,241.73889
50,80,81,90,68,85,66,57,224,0,0,1,0,0,0,277.27222
51,80,78,90,65,73,76,83,216,0,0,1,0,0,0,275.45556
52,80,58,65,87,83,62,73,251,0,0,2,0,0,0,250.57778
53,75,84,78,90,86,71,76,231,0,0,4,0,0,0,146.13889
54,100,89,88,87,82,59,77,270,0,0,2,0,0,0,96.38333
55,70,88,83,82,86,55,41,239,0,0,3,0,0,0,47.69444
56,70,80,78,88,89,49,64,442,0,0,2,0,0,0,82.54444
57,85,70,88,71,87,70,71,251,0,0,1,0,0,0,139.85
58,80,76,83,81,86,64,84,219,0,0,1,0,0,0,222.48333
59,80,87,70,87,89,51,75,208,0,0,0,0,0,0,246.72222
60,70,68,78,67,90,50,68,206,0,0,2,0,0,0,136.66667
61,80,77,80,86,82,66,74,247,0,0,3,0,0,0,246.24444
62,80,86,70,83,87,56,71,255,0,0,0,0,0,0,241.73889
63,85,89,80,87,77,61,67,251,0,0,2,0,0,0,64.87778
64,80,84,85,81,83,67,84,177,0,0,5,0,0,0,62.2
65,85,86,93,89,91,59,62,342,0,0,4,0,0,0,77.56667
66,80,91,80,93,91,79,85,224,0,0,0,0,0,0,83.74444
67,80,86,88,76,81,81,86,358,0,0,2,0,0,0,231.31111
68,85,93,78,94,89,55,88,396,0,0,1,0,0,0,283.16667
69,85,84,68,85,84,34,31,359,0,0,3,0,0,0,116.76111
70,70,68,83,74,81,69,45,232,0,0,1,0,0,0,134.72222
71,70,96,90,89,91,75,74,399,0,0,0,0,0,0,108.85556
72,80,74,90,82,75,31,70,169,0,0,3,0,0,0,250.57778
73,80,68,90,70,68,50,50,359,0,0,1,0,0,0,58.22778
74,75,70,78,73,71,59,70,255,0,0,1,0,0,0,280.84444
75,75,70,80,78,88,70,53,586,1,0,2,0,0,0,89.41667
76,75,68,73,71,80,53,68,305,0,0,8,0,0,0,47.69444
77,90,66,0,70,80,0,46,478,0,0,2,0,0,0,231.86111
78,85,72,60,83,69,59,56,344,2,2,0,0,0,0,251.36667
79,70,74,80,88,76,71,73,228,0,0,1,0,0,0,282.94444
80,70,73,83,81,86,61,65,292,0,0,3,0,0,0,253.99444
81,85,80,75,77,88,59,67,218,0,0,1,0,0,0,65.06667
82,75,83,83,81,84,70,65,301,0,0,0,0,0,0,272.51111
83,85,94,83,90,86,57,73,320,0,0,1,0,0,0,83.8
84,75,64,88,61,70,0,53,339,0,0,1,0,0,0,238.35
85,85,87,80,83,84,76,71,298,0,0,0,0,0,0,240.12778
86,80,76,73,69,71,73,62,239,0,0,2,0,0,0,378.60556
87,85,83,73,84,83,49,74,223,0,0,3,0,0,0,334.01111
88,80,62,63,61,73,69,84,258,0,0,2,0,0,0,140.35556
89,80,86,85,91,88,81,113,166,0,0,2,0,0,0,275.45556
90,80,84,85,91,83,64,84,150,0,0,2,0,0,0,246.24444
91,70,57,78,69,69,60,1,192,1,0,1,0,0,0,260.72778
92,85,91,80,88,98,81,71,177,0,0,0,0,0,0,99.52778
93,95,95,83,87,85,50,86,230,0,0,1,0,0,0,58.22778
94,75,69,85,84,83,70,84,219,0,0,1,0,0,0,246.66667
95,70,77,80,79,69,71,54,396,0,0,1,0,0,0,282.67778
