,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.10164025441266963,0.10164025441266963,0.10164025441266963,0.0,0.10164025441266963,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.0,0.8979591836734694,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.01420373397821558,0.01420373397821558,0.01420373397821558,0.0,0.01420373397821558,0.0,2,0,0.06,minimize
stats.chi_squared_test.marginal,0.06666659646692383,0.06666659646692383,0.06666659646692383,0.0,0.06666659646692383,0.0,2,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5547190264452786,0.5547190264452786,0.5547190264452786,0.0,0.5547190264452786,0.0,2,0,0.01,maximize
stats.ks_test.marginal,0.8836734693877553,0.8836734693877553,0.8836734693877553,0.0,0.8836734693877553,0.0,2,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.020408163265260668,0.020408163265260668,0.020408163265260668,0.0,0.020408163265260668,0.0,2,0,0.0,minimize
stats.wasserstein_dist.joint,0.16927201826334295,0.16927201826334295,0.16927201826334295,0.0,0.16927201826334295,0.0,2,0,0.0,minimize
stats.prdc.precision,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.0,0.9795918367346939,0.0,2,0,0.0,maximize
stats.prdc.recall,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.0,0.8775510204081632,0.0,2,0,0.0,maximize
stats.prdc.density,1.0346938775510204,1.0346938775510204,1.0346938775510204,0.0,1.0346938775510204,0.0,2,0,0.0,maximize
stats.prdc.coverage,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.0,0.9183673469387755,0.0,2,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.4945578231292518,0.4945578231292518,0.4945578231292518,0.0,0.4945578231292518,0.0,2,0,1.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.30272108843537415,0.30272108843537415,0.30272108843537415,0.0,0.30272108843537415,0.0,2,0,1.1,maximize
stats.alpha_precision.authenticity_OC,0.6530612244897959,0.6530612244897959,0.6530612244897959,0.0,0.6530612244897959,0.0,2,0,1.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7605442176870749,0.7605442176870749,0.7605442176870749,0.0,0.7605442176870749,0.0,2,0,1.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.36122448979591837,0.36122448979591837,0.36122448979591837,0.0,0.36122448979591837,0.0,2,0,1.1,maximize
stats.alpha_precision.authenticity_naive,0.5612244897959183,0.5612244897959183,0.5612244897959183,0.0,0.5612244897959183,0.0,2,0,1.1,maximize
performance.linear_model.gt,-0.44203921856272205,-0.44203921856272205,-0.44203921856272205,0.0,-0.44203921856272205,0.0,2,0,0.02,maximize
performance.linear_model.syn_id,0.2771041360588626,0.2771041360588626,0.2771041360588626,0.0,0.2771041360588626,0.0,2,0,0.02,maximize
performance.linear_model.syn_ood,0.10652194134667448,0.10652194134667448,0.10652194134667448,0.0,0.10652194134667448,0.0,2,0,0.02,maximize
performance.mlp.gt,-0.24744512702140864,-0.24744512702140864,-0.24744512702140864,0.0,-0.24744512702140864,0.0,2,0,7.34,maximize
performance.mlp.syn_id,-0.692227804648683,-0.692227804648683,-0.692227804648683,0.0,-0.692227804648683,0.0,2,0,7.34,maximize
performance.mlp.syn_ood,-1.8756886452048986,-1.8756886452048986,-1.8756886452048986,0.0,-1.8756886452048986,0.0,2,0,7.34,maximize
