,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Average time to submit assignment (in hours)
0,70,88,87,83,91,63,89,218,0,0,1,0,0,0,100.72222
1,70,70,88,86,84,69,87,206,0,0,0,0,0,0,132.92222
2,100,84,68,77,83,71,85,184,0,0,1,0,0,0,277.61111
3,75,86,80,83,83,64,62,413,0,0,2,0,0,0,100.31667
4,70,84,88,91,85,51,90,251,0,0,2,0,0,0,288.03333
5,65,66,85,86,80,81,45,342,0,0,4,0,0,0,248.11111
6,70,83,83,86,86,41,60,184,0,0,1,0,0,0,77.56667
7,75,72,70,81,85,74,80,194,0,0,0,0,0,0,83.70556
8,85,65,68,71,83,60,47,216,0,0,1,0,0,0,142.67222
9,80,83,95,66,82,49,58,342,0,0,5,0,0,0,177.46111
10,70,91,80,91,78,66,92,184,0,0,0,0,0,0,82.54444
11,75,65,83,85,85,57,78,218,0,0,0,0,0,0,279.46667
12,75,85,73,83,88,60,74,177,0,0,1,0,0,0,83.74444
13,75,87,73,91,80,57,102,166,0,0,0,0,0,0,238.50556
14,85,89,73,93,80,64,71,231,0,0,0,0,0,0,116.29444
15,75,78,85,88,83,49,51,191,0,0,0,0,0,0,218.57778
16,75,71,75,72,79,57,88,301,0,0,1,0,0,0,283.16667
17,60,80,73,86,91,57,45,196,0,0,2,0,0,0,378.60556
18,80,78,80,87,85,40,90,216,0,0,0,0,0,0,277.27222
19,70,82,83,78,93,77,78,304,0,0,0,0,0,0,334.01111
20,70,66,73,81,66,53,51,219,0,0,1,0,0,0,134.72222
21,80,79,93,91,80,79,83,297,0,0,2,0,0,0,86.24444
22,70,73,78,76,78,64,60,421,0,0,1,0,0,0,64.87778
23,70,61,83,73,78,69,90,255,0,0,8,0,0,0,124.78333
24,80,78,85,85,73,63,58,438,0,0,4,0,0,0,96.38333
25,75,76,75,89,89,74,81,228,0,0,1,0,0,0,89.41667
26,85,80,83,67,90,69,65,248,0,0,1,0,0,0,92.65556
27,85,76,50,82,69,63,76,249,0,0,3,0,0,0,96.38333
28,85,61,70,79,74,54,76,177,0,0,1,0,0,0,282.67778
29,70,59,73,66,78,55,56,219,0,0,0,0,0,0,359.92778
30,80,89,88,78,82,69,117,358,0,0,2,0,0,0,86.52778
31,0,72,70,78,87,66,47,226,1,0,0,0,0,0,308.47778
32,80,73,73,83,85,61,43,342,0,0,2,0,0,0,82.54444
33,80,62,63,73,58,51,56,449,1,0,2,0,0,0,242.23889
34,80,87,73,83,80,63,54,291,0,0,0,0,0,0,251.36667
35,80,91,85,93,90,60,59,405,0,0,1,0,0,0,139.85
36,95,75,73,86,78,66,65,226,0,0,2,0,0,0,119.83333
37,90,89,65,86,88,51,62,495,0,0,2,0,0,0,282.94444
38,85,81,55,80,92,66,74,169,0,0,1,0,0,0,133.31111
39,80,73,83,80,74,74,75,165,0,0,1,0,0,0,246.72222
40,75,85,85,84,82,43,69,162,0,0,1,0,0,0,136.66667
41,80,79,88,79,85,66,72,357,0,0,0,0,0,0,270.77222
42,85,88,68,86,87,64,62,534,0,0,0,0,0,0,253.99444
43,70,95,93,89,81,67,58,339,0,0,3,0,0,0,261.49444
44,65,83,80,80,85,59,73,243,0,0,1,0,0,0,85.64444
45,80,92,95,91,83,79,90,258,0,0,2,0,0,0,132.92222
46,75,78,75,85,86,51,45,169,0,0,0,0,0,0,241.73889
47,70,84,65,75,87,69,67,638,0,0,3,0,0,0,277.61111
48,80,70,80,79,88,80,85,228,0,0,2,0,0,0,272.51111
49,75,73,73,68,73,59,60,469,0,0,1,0,0,0,288.03333
50,80,69,75,73,73,57,67,247,0,0,2,0,0,0,248.11111
51,85,83,85,83,86,57,86,238,0,0,4,0,0,0,83.8
52,75,72,65,60,83,50,78,230,0,0,0,0,0,0,221.99444
53,80,94,73,62,70,76,99,177,0,0,1,0,0,0,83.70556
54,80,79,75,81,83,71,71,169,0,0,1,0,0,0,177.46111
55,70,82,75,79,73,57,85,166,0,0,2,0,0,0,241.83333
56,90,79,78,81,92,61,75,206,0,0,2,0,0,0,97.61667
57,85,66,80,59,78,60,63,255,0,0,1,0,0,0,259.49444
58,80,79,90,80,84,71,58,232,0,0,2,0,0,0,241.95556
59,75,69,90,67,85,57,80,219,0,0,3,0,0,0,83.74444
60,70,83,85,91,83,71,67,304,0,0,2,0,0,0,116.29444
61,80,93,94,88,93,81,113,544,0,0,0,0,0,0,218.57778
62,65,65,50,69,86,64,88,216,0,0,2,0,0,0,283.16667
63,90,87,78,94,85,71,98,495,0,0,1,0,0,0,378.60556
64,70,91,78,73,80,59,64,206,0,0,1,0,0,0,241.73889
65,70,86,85,81,85,70,97,177,0,0,1,0,0,0,277.27222
66,75,92,88,85,75,71,71,298,0,0,5,0,0,0,334.01111
67,70,70,68,61,74,56,80,166,0,0,1,0,0,0,279.47778
68,75,87,75,89,88,58,80,270,0,0,1,0,0,0,275.45556
69,85,69,80,72,84,60,74,239,0,0,1,0,0,0,134.72222
70,80,87,85,86,82,81,97,288,0,0,1,0,0,0,129.96667
71,80,75,75,88,80,56,81,288,1,0,1,0,0,0,108.85556
72,75,68,53,82,80,73,78,549,2,0,0,0,0,0,64.87778
73,85,84,85,90,79,63,54,218,0,0,3,0,0,0,146.13889
74,70,89,73,90,85,56,85,255,5,5,0,0,0,0,276.76111
