,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.1780966560102568,0.1780966560102568,0.1780966560102568,0.0,0.1780966560102568,0.0,2,0,0.0,minimize
sanity.close_values_probability.score,0.7244897959183674,0.7244897959183674,0.7244897959183674,0.0,0.7244897959183674,0.0,2,0,0.0,maximize
sanity.distant_values_probability.score,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.0,2,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.013208004028352772,0.013208004028352772,0.013208004028352772,0.0,0.013208004028352772,0.0,2,0,0.06,minimize
stats.chi_squared_test.marginal,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5693560507417513,0.5693560507417513,0.5693560507417513,0.0,0.5693560507417513,0.0,2,0,0.0,maximize
stats.ks_test.marginal,0.8741496598639455,0.8741496598639455,0.8741496598639455,0.0,0.8741496598639455,0.0,2,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.020408163265257635,0.020408163265257635,0.020408163265257635,0.0,0.020408163265257635,0.0,2,0,0.0,minimize
stats.wasserstein_dist.joint,0.17007075247996134,0.17007075247996134,0.17007075247996134,0.0,0.17007075247996134,0.0,2,0,0.0,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.0,maximize
stats.prdc.recall,0.8673469387755102,0.8673469387755102,0.8673469387755102,0.0,0.8673469387755102,0.0,2,0,0.0,maximize
stats.prdc.density,1.0591836734693878,1.0591836734693878,1.0591836734693878,0.0,1.0591836734693878,0.0,2,0,0.0,maximize
stats.prdc.coverage,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.0,0.9591836734693877,0.0,2,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.6197278911564625,0.6197278911564625,0.6197278911564625,0.0,0.6197278911564625,0.0,2,0,0.04,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4251700680272108,0.4251700680272108,0.4251700680272108,0.0,0.4251700680272108,0.0,2,0,0.04,maximize
stats.alpha_precision.authenticity_OC,0.47959183673469385,0.47959183673469385,0.47959183673469385,0.0,0.47959183673469385,0.0,2,0,0.04,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8272108843537415,0.8272108843537415,0.8272108843537415,0.0,0.8272108843537415,0.0,2,0,0.04,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4585034013605441,0.4585034013605441,0.4585034013605441,0.0,0.4585034013605441,0.0,2,0,0.04,maximize
stats.alpha_precision.authenticity_naive,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.0,0.5918367346938775,0.0,2,0,0.04,maximize
performance.linear_model.gt,-0.44203921856272205,-0.44203921856272205,-0.44203921856272205,0.0,-0.44203921856272205,0.0,2,0,0.02,maximize
performance.linear_model.syn_id,0.25393164993379874,0.25393164993379874,0.25393164993379874,0.0,0.25393164993379874,0.0,2,0,0.02,maximize
performance.linear_model.syn_ood,0.21559126535975237,0.21559126535975237,0.21559126535975237,0.0,0.21559126535975237,0.0,2,0,0.02,maximize
performance.mlp.gt,-0.24744512702140864,-0.24744512702140864,-0.24744512702140864,0.0,-0.24744512702140864,0.0,2,0,6.62,maximize
performance.mlp.syn_id,0.1629091131555482,0.1629091131555482,0.1629091131555482,0.0,0.1629091131555482,0.0,2,0,6.62,maximize
performance.mlp.syn_ood,-0.5004218883181535,-0.5004218883181535,-0.5004218883181535,0.0,-0.5004218883181535,0.0,2,0,6.62,maximize
performance.xgb.gt,0.02299870373197514,0.02299870373197514,0.02299870373197514,0.0,0.02299870373197514,0.0,2,0,0.12,maximize
